key,target_spk,interferer_spk,num_chunks,mean_local_target_interferer_si_sdr_gap,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_si_sdr_confirmed_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_si_sdr_confirmed_drift_rate,any_two_verifier_content_mismatch,any_two_verifier_si_sdr_confirmed_drift,any_tri_verifier_content_mismatch,any_tri_verifier_si_sdr_confirmed_drift,two_verifier_content_mismatch_ge20pct,two_verifier_si_sdr_confirmed_drift_ge20pct,tri_verifier_content_mismatch_ge20pct,tri_verifier_si_sdr_confirmed_drift_ge20pct
1188-133604-0040_4970-29093-0002__T2__NBASIC__4970,4970,1188,5,32.879145097051996,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0000_3570-5694-0022__T1__NBASIC__121,121,3570,7,43.31815878331624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0000_3570-5694-0022__T2__NBASIC__3570,3570,121,7,35.561988156821926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0003_672-122797-0059__T1__NBASIC__121,121,672,6,16.16862936123082,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,1,1,1,1,1,0,1,0
121-121726-0003_672-122797-0059__T2__NBASIC__672,672,121,6,8.793674173944348,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,1,1,1,1,0,0,0,0
121-121726-0006_61-70970-0003__T1__NBASIC__121,121,61,6,38.146971177219754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0006_61-70970-0003__T2__NBASIC__61,61,121,6,32.43511721753842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0008_4446-2273-0000__T1__NBASIC__121,121,4446,8,37.96890856417393,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0008_4446-2273-0000__T2__NBASIC__4446,4446,121,8,41.11983834632555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0010_260-123286-0031__T1__NBASIC__121,121,260,8,39.479961212540914,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0010_260-123286-0031__T2__NBASIC__260,260,121,8,45.559266360228584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0011_237-126133-0017__T1__NBASIC__121,121,237,7,-9.118107750141979,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.5714285714285714,1,1,1,1,1,1,1,1
121-121726-0011_237-126133-0017__T2__NBASIC__237,237,121,7,23.57088152434633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0014_7021-79740-0000__T1__NBASIC__121,121,7021,5,38.61825194007572,0.0,0.4,0.2,0.0,0.2,0.0,0.0,0.0,1,0,0,0,1,0,0,0
121-121726-0014_7021-79740-0000__T2__NBASIC__7021,7021,121,5,41.621475396591435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
