key,target_spk,interferer_spk,num_chunks,mean_local_target_interferer_si_sdr_gap,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_si_sdr_confirmed_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_si_sdr_confirmed_drift_rate,any_two_verifier_content_mismatch,any_two_verifier_si_sdr_confirmed_drift,any_tri_verifier_content_mismatch,any_tri_verifier_si_sdr_confirmed_drift,two_verifier_content_mismatch_ge20pct,two_verifier_si_sdr_confirmed_drift_ge20pct,tri_verifier_content_mismatch_ge20pct,tri_verifier_si_sdr_confirmed_drift_ge20pct
1089-134691-0014_237-134500-0012__T2__NBASIC__237,237,1089,8,43.68231561022062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134691-0015_3575-170457-0015__T1__NBASIC__1089,1089,3575,4,37.25270877542175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134691-0015_3575-170457-0015__T2__NBASIC__3575,3575,1089,4,39.98646921537531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134691-0020_7021-85628-0000__T1__NBASIC__1089,1089,7021,5,45.415572835510986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134691-0020_7021-85628-0000__T2__NBASIC__7021,7021,1089,5,46.96575256567268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134691-0023_1580-141083-0000__T1__NBASIC__1089,1089,1580,14,38.72998858865363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134691-0023_1580-141083-0000__T2__NBASIC__1580,1580,1089,14,30.752793627912915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134691-0025_4970-29095-0012__T1__NBASIC__1089,1089,4970,8,36.77625458021474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134691-0025_4970-29095-0012__T2__NBASIC__4970,4970,1089,8,41.86377581613013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0001_1995-1826-0012__T1__NBASIC__1188,1188,1995,10,41.990763942048225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0001_1995-1826-0012__T2__NBASIC__1995,1995,1188,10,44.51096500594136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0004_672-122797-0017__T1__NBASIC__1188,1188,672,8,33.58399283529009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0004_672-122797-0017__T2__NBASIC__672,672,1188,8,29.106383964583927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0005_4446-2271-0003__T1__NBASIC__1188,1188,4446,6,38.48091373048176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0005_4446-2271-0003__T2__NBASIC__4446,4446,1188,6,31.68675850471221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0011_4970-29095-0008__T1__NBASIC__1188,1188,4970,5,34.53972687504645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0011_4970-29095-0008__T2__NBASIC__4970,4970,1188,5,34.159992113086496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0012_5105-28241-0016__T1__NBASIC__1188,1188,5105,11,-20.352002552741673,1.0,0.9090909090909091,0.9090909090909091,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,1,1,1,1,1,1,1,1
1188-133604-0012_5105-28241-0016__T2__NBASIC__5105,5105,1188,11,36.89629707923031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0016_7176-88083-0018__T1__NBASIC__1188,1188,7176,19,11.176498336942654,0.15789473684210525,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.10526315789473684,1,1,1,1,1,0,1,0
1188-133604-0016_7176-88083-0018__T2__NBASIC__7176,7176,1188,19,13.34860253274068,0.10526315789473684,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0017_6930-81414-0007__T1__NBASIC__1188,1188,6930,7,46.43466396714554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0017_6930-81414-0007__T2__NBASIC__6930,6930,1188,7,38.09830409435811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0019_8224-274384-0008__T1__NBASIC__1188,1188,8224,23,41.2015810243763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0019_8224-274384-0008__T2__NBASIC__8224,8224,1188,23,32.107565872048475,0.0,0.17391304347826086,0.13043478260869565,0.13043478260869565,0.08695652173913043,0.0,0.08695652173913043,0.0,1,0,1,0,0,0,0,0
1188-133604-0020_3729-6852-0044__T1__NBASIC__1188,1188,3729,12,43.53599506414875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0020_3729-6852-0044__T2__NBASIC__3729,3729,1188,12,39.838220308866966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0022_1221-135767-0019__T1__NBASIC__1188,1188,1221,6,52.331869984899335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0022_1221-135767-0019__T2__NBASIC__1221,1221,1188,6,47.344705239205695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0025_4992-23283-0016__T1__NBASIC__1188,1188,4992,7,26.431751814909823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0025_4992-23283-0016__T2__NBASIC__4992,4992,1188,7,30.651345655755826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0029_8455-210777-0003__T1__NBASIC__1188,1188,8455,6,43.50242824909701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0029_8455-210777-0003__T2__NBASIC__8455,8455,1188,6,45.59727591414669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0033_7127-75947-0027__T1__NBASIC__1188,1188,7127,12,-31.02892876638091,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1,1,1,1,1,1,1,1
1188-133604-0033_7127-75947-0027__T2__NBASIC__7127,7127,1188,12,42.21140663089635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0036_2961-960-0007__T1__NBASIC__1188,1188,2961,14,37.63704720452218,0.0,0.14285714285714285,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,1,0,0,0,0,0,0,0
1188-133604-0036_2961-960-0007__T2__NBASIC__2961,2961,1188,14,38.641037048895775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0038_5142-33396-0043__T1__NBASIC__1188,1188,5142,6,54.18828772269147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
