key,usef_sisnri,tfc_sisnri,tfc_sisdr,usef_drift_rate,tfc_drift_rate,usef_low_sisnri,usef_good_sisnri,usef_high_drift,usef_any_drift,usef_low_high_drift,usef_good_high_drift,tfc_low_sisnri,tfc_good_sisnri,tfc_high_drift,tfc_any_drift,tfc_low_high_drift,tfc_good_high_drift
1089-134686-0025_7127-75947-0035__T1__SCV3TTSENR__1089-1089-134686-0025__VOICE__7127,19.02930162504161,12.932235309237228,17.406023919879573,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0025_7127-75947-0035__T2__SCV3TTSENR__7127-7127-75947-0035__VOICE__1089,23.732997084074405,17.393182742239063,12.66780464809437,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0026_8224-274384-0010__T1__SCV3TTSENR__1089-1089-134686-0026__VOICE__8224,19.13361697425465,17.76479948237798,14.547802623907318,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0026_8224-274384-0010__T2__SCV3TTSENR__8224-8224-274384-0010__VOICE__1089,16.250339580086365,14.644786956885072,17.795109755742644,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0028_6829-68771-0025__T1__SCV3TTSENR__1089-1089-134686-0028__VOICE__6829,20.91011607549544,15.90721550398327,18.18019002454644,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0028_6829-68771-0025__T2__SCV3TTSENR__6829-6829-68771-0025__VOICE__1089,23.20034139297761,18.794603464995703,16.653201618510717,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0028_8224-274384-0005__T1__SCV3TTSENR__1089-1089-134686-0028__VOICE__8224,20.122298944425424,17.255679207009955,14.522433098523674,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0028_8224-274384-0005__T2__SCV3TTSENR__8224-8224-274384-0005__VOICE__1089,17.387924996191806,-29.70803418824565,-26.92547451924892,0.0,1.0,False,True,False,False,False,False,True,False,True,True,True,False
1089-134686-0029_121-127105-0007__T1__SCV3TTSENR__1089-1089-134686-0029__VOICE__121,22.616918075114185,18.20644593825877,13.531342555405896,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0029_121-127105-0007__T2__SCV3TTSENR__121-121-127105-0007__VOICE__1089,18.164955444557776,13.754345850959725,18.287783185617727,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0031_1320-122612-0008__T1__SCV3TTSENR__1089-1089-134686-0031__VOICE__1320,19.64120302341124,15.878474295465397,19.46259036215459,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0031_1320-122612-0008__T2__SCV3TTSENR__1320-1320-122612-0008__VOICE__1089,24.31480280613893,19.541378937394303,15.840129964970572,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0031_61-70968-0026__T1__SCV3TTSENR__1089-1089-134686-0031__VOICE__61,20.1027865877678,16.742015474064633,15.545146745637204,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0031_61-70968-0026__T2__SCV3TTSENR__61-61-70968-0026__VOICE__1089,-37.836512521478994,15.470610437009302,16.6818295090301,1.0,0.0,True,False,True,True,True,False,False,True,False,False,False,False
1089-134686-0032_4507-16021-0049__T1__SCV3TTSENR__1089-1089-134686-0032__VOICE__4507,23.47060036021769,22.83521066914844,19.48077831155816,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0032_4507-16021-0049__T2__SCV3TTSENR__4507-4507-16021-0049__VOICE__1089,19.52625550599596,19.540545198199155,23.157872247026475,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0032_6829-68771-0030__T1__SCV3TTSENR__1089-1089-134686-0032__VOICE__6829,21.92512189478643,16.99700754105707,20.67367243689496,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0032_6829-68771-0030__T2__SCV3TTSENR__6829-6829-68771-0030__VOICE__1089,25.90361937000973,20.9073893446532,17.034032348513556,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0033_1320-122612-0001__T1__SCV3TTSENR__1089-1089-134686-0033__VOICE__1320,23.621526064361465,19.484225090609726,15.46450236022973,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0033_1320-122612-0001__T2__SCV3TTSENR__1320-1320-122612-0001__VOICE__1089,19.939065060349897,14.788126842463925,19.245621318831105,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0034_5639-40744-0005__T1__SCV3TTSENR__1089-1089-134686-0034__VOICE__5639,24.21494516182554,20.466705289033204,14.84967529008455,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0034_5639-40744-0005__T2__SCV3TTSENR__5639-5639-40744-0005__VOICE__1089,18.282113890071592,14.843699689604248,20.33006142151816,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0034_8455-210777-0067__T1__SCV3TTSENR__1089-1089-134686-0034__VOICE__8455,19.6404468456387,17.11277322923892,15.667457128387596,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0034_8455-210777-0067__T2__SCV3TTSENR__8455-8455-210777-0067__VOICE__1089,18.76969576331898,16.679943307308548,18.170383268811293,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0034_8463-294828-0036__T1__SCV3TTSENR__1089-1089-134686-0034__VOICE__8463,25.310566704821024,19.510004235361283,15.600831627570592,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0034_8463-294828-0036__T2__SCV3TTSENR__8463-8463-294828-0036__VOICE__1089,21.679289535211552,16.073616006756243,19.71128032216741,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0035_2300-131720-0025__T1__SCV3TTSENR__1089-1089-134686-0035__VOICE__2300,8.114590301424212,15.543831078909893,17.936589151201755,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False
1089-134686-0035_2300-131720-0025__T2__SCV3TTSENR__2300-2300-131720-0025__VOICE__1089,20.584645474368543,17.69629357568858,15.284014173694896,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0035_5683-32866-0010__T1__SCV3TTSENR__1089-1089-134686-0035__VOICE__5683,27.22096788496498,22.59364442011052,14.984798531348329,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0035_5683-32866-0010__T2__SCV3TTSENR__5683-5683-32866-0010__VOICE__1089,19.09002960320831,14.742784646241482,21.730768622236827,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0036_6930-75918-0008__T1__SCV3TTSENR__1089-1089-134686-0036__VOICE__6930,16.859837643023248,15.435242283347105,16.370409946827788,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0036_6930-75918-0008__T2__SCV3TTSENR__6930-6930-75918-0008__VOICE__1089,19.304120859619573,15.80653405533745,14.946404344856097,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0037_2094-142345-0001__T1__SCV3TTSENR__1089-1089-134686-0037__VOICE__2094,9.358017034570802,14.501089760878566,16.029484632124486,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False
1089-134686-0037_2094-142345-0001__T2__SCV3TTSENR__2094-2094-142345-0001__VOICE__1089,10.510328834701967,16.454652999150635,14.881077662141593,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0037_4446-2271-0000__T1__SCV3TTSENR__1089-1089-134686-0037__VOICE__4446,17.009914359818833,15.20046987981948,18.95538941434041,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134686-0037_4446-2271-0000__T2__SCV3TTSENR__4446-4446-2271-0000__VOICE__1089,21.170477423053967,19.27508422001525,15.44610093299757,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134691-0001_1320-122617-0013__T1__SCV3TTSENR__1089-1089-134691-0001__VOICE__1320,22.9807645492894,19.165367434005432,15.449568376513234,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134691-0001_1320-122617-0013__T2__SCV3TTSENR__1320-1320-122617-0013__VOICE__1089,19.22370879065034,15.3336402426397,19.22500222783753,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134691-0002_4507-16021-0036__T1__SCV3TTSENR__1089-1089-134691-0002__VOICE__4507,19.768900888975423,16.627849995701457,19.20014168990511,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134691-0002_4507-16021-0036__T2__SCV3TTSENR__4507-4507-16021-0036__VOICE__1089,21.27895694562618,19.47301285109635,16.815325250028476,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
1089-134691-0002_8455-210777-0005__T1__SCV3TTSENR__1089-1089-134691-0002__VOICE__8455,18.746788763949297,14.921703787780825,18.537760537176595,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False
