key,usef_sisnri,tfc_sisnri,tfc_sisdr,usef_drift_rate,tfc_drift_rate,usef_low_sisnri,usef_good_sisnri,usef_high_drift,usef_any_drift,usef_low_high_drift,usef_good_high_drift,tfc_low_sisnri,tfc_good_sisnri,tfc_high_drift,tfc_any_drift,tfc_low_high_drift,tfc_good_high_drift,case_type,sisnri_gap_tfc_minus_usef
672-122797-0006_5683-32865-0017__T2__SCV3TTSENR__5683-5683-32865-0017__VOICE__672,-33.72985813041065,-18.98524515188152,-17.01866928418371,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,14.744612978529126
260-123288-0012_4446-2273-0009__T2__SCV3TTSENR__4446-4446-2273-0009__VOICE__260,-48.36235134368281,-33.69969525705843,-34.965217523523584,1.0,0.8333333333333334,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,14.66265608662438
8463-294828-0017_4446-2273-0027__T1__SCV3TTSENR__8463-8463-294828-0017__VOICE__4446,-40.81330994004,-26.68309430485463,-23.38122207761116,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,14.130215635185369
1284-1180-0011_4446-2275-0043__T2__SCV3TTSENR__4446-4446-2275-0043__VOICE__1284,-47.49740524786458,-33.55612621459727,-33.75980403452338,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,13.941279033267307
1089-134691-0020_908-31957-0004__T1__SCV3TTSENR__1089-1089-134691-0020__VOICE__908,-38.67858749486588,-24.8498819092133,-27.33026410079763,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,13.828705585652582
4446-2273-0028_237-126133-0018__T1__SCV3TTSENR__4446-4446-2273-0028__VOICE__237,-47.33424903698808,-33.7208990862702,-32.34687490546956,1.0,0.8571428571428571,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,13.613349950717883
1284-1181-0011_4446-2273-0036__T2__SCV3TTSENR__4446-4446-2273-0036__VOICE__1284,-42.63943121245105,-29.57198702500139,-30.98277411827153,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,13.06744418744966
4446-2273-0021_7176-92135-0024__T1__SCV3TTSENR__4446-4446-2273-0021__VOICE__7176,-39.95756812427005,-27.015158877952267,-25.2180438961396,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,12.94240924631778
237-134500-0000_1221-135767-0018__T2__SCV3TTSENR__1221-1221-135767-0018__VOICE__237,-27.781281790583275,-14.848456244501463,-15.517527759261558,1.0,0.7272727272727273,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,12.932825546081812
1089-134691-0019_672-122797-0023__T2__SCV3TTSENR__672-672-122797-0023__VOICE__1089,-35.84660648940152,-22.98419265955928,-29.036069780329058,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,12.862413829842243
4446-2271-0001_8463-294828-0007__T2__SCV3TTSENR__8463-8463-294828-0007__VOICE__4446,-38.1551121013326,-25.326222472107823,-25.619436644389268,1.0,0.8181818181818182,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,12.828889629224776
4970-29095-0037_4446-2273-0008__T2__SCV3TTSENR__4446-4446-2273-0008__VOICE__4970,-42.6044026302357,-29.99508432492705,-33.97290216277533,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,12.609318305308648
4446-2273-0018_2094-142345-0005__T1__SCV3TTSENR__4446-4446-2273-0018__VOICE__2094,-42.80036638571438,-30.864479597234272,-38.408916067643005,1.0,0.8,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,11.935886788480111
260-123288-0011_4446-2275-0029__T2__SCV3TTSENR__4446-4446-2275-0029__VOICE__260,-31.523383447180173,-19.985191515388504,-24.81224477351713,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,11.538191931791669
2094-142345-0027_4446-2273-0028__T2__SCV3TTSENR__4446-4446-2273-0028__VOICE__2094,-33.2475937886638,-22.165066022712587,-27.53096733076933,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,11.082527765951212
8455-210777-0017_672-122797-0038__T2__SCV3TTSENR__672-672-122797-0038__VOICE__8455,-34.400776798369506,-23.805875712451385,-22.131046591080505,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,10.59490108591812
2830-3980-0051_4446-2273-0029__T2__SCV3TTSENR__4446-4446-2273-0029__VOICE__2830,-51.52044622203435,-41.17067964250632,-40.64063000296908,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,10.34976657952803
4446-2275-0007_121-121726-0012__T1__SCV3TTSENR__4446-4446-2275-0007__VOICE__121,-44.478665445954015,-34.17864042985435,-30.86850961951125,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,10.300025016099667
672-122797-0012_260-123440-0002__T1__SCV3TTSENR__672-672-122797-0012__VOICE__260,-28.79309887223595,-19.198396219285588,-20.90409311086131,0.8571428571428571,0.8571428571428571,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,9.594702652950364
4970-29095-0038_5142-33396-0003__T1__SCV3TTSENR__4970-4970-29095-0038__VOICE__5142,-34.816397623024166,-25.2384283798827,-23.46602395272236,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,9.577969243141467
4446-2273-0023_6829-68769-0002__T1__SCV3TTSENR__4446-4446-2273-0023__VOICE__6829,-38.763166054781095,-29.293923897682603,-27.12285913807664,0.8,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,9.469242157098492
4446-2273-0003_6829-68771-0005__T1__SCV3TTSENR__4446-4446-2273-0003__VOICE__6829,-38.12251087523107,-28.93229650931599,-30.14932244669886,0.9090909090909092,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,9.190214365915082
5683-32879-0010_8463-294828-0036__T2__SCV3TTSENR__8463-8463-294828-0036__VOICE__5683,-43.49561918605607,-34.79708220044513,-30.0379989894488,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,8.698536985610936
8463-294828-0001_4507-16021-0028__T1__SCV3TTSENR__8463-8463-294828-0001__VOICE__4507,-41.38184246167849,-32.77223632183509,-34.26198300149758,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,8.6096061398434
7127-75947-0018_5105-28240-0016__T2__SCV3TTSENR__5105-5105-28240-0016__VOICE__7127,-28.19243623616737,-19.823193225383257,-19.182392020622324,0.8571428571428571,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,8.369243010784114
5105-28240-0003_672-122797-0019__T2__SCV3TTSENR__672-672-122797-0019__VOICE__5105,-23.138178454282897,-14.83266309521254,-16.346358666250666,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,8.305515359070357
672-122797-0068_7127-75947-0024__T1__SCV3TTSENR__672-672-122797-0068__VOICE__7127,-28.74877395862392,-20.446559920954986,-25.972705548670447,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,8.302214037668936
5639-40744-0033_4446-2273-0035__T2__SCV3TTSENR__4446-4446-2273-0035__VOICE__5639,-64.69057902768868,-56.691608962321496,-51.09123024457983,1.0,0.9090909090909092,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,7.998970065367189
5142-33396-0028_4970-29095-0026__T2__SCV3TTSENR__4970-4970-29095-0026__VOICE__5142,-23.66926928778046,-15.69075853177133,-12.880715572479618,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,7.978510756009129
260-123440-0007_1320-122612-0005__T1__SCV3TTSENR__260-260-123440-0007__VOICE__1320,-44.86490850757698,-36.8960228059002,-36.16959904959364,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,7.968885701676776
260-123440-0011_1320-122617-0016__T1__SCV3TTSENR__260-260-123440-0011__VOICE__1320,-45.70736120797234,-37.79223321238224,-39.32469879671499,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,7.9151279955900975
4507-16021-0024_4446-2273-0034__T2__SCV3TTSENR__4446-4446-2273-0034__VOICE__4507,-38.97928196087404,-31.0970182554066,-33.38009208373588,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,7.882263705467441
4446-2273-0004_6829-68769-0009__T1__SCV3TTSENR__4446-4446-2273-0004__VOICE__6829,-43.56360965810734,-35.684865512321394,-31.791645808503304,1.0,0.8571428571428571,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,7.878744145785944
