key,mix_path,target_path,aux_path,est_path,sample_rate,num_samples,sisnr_mix,sisnr_est,sisnr_i
1089-134686-0007_7021-85628-0018__T1__NORMAL__1089,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0007_7021-85628-0018.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s1/1089-134686-0007_7021-85628-0018.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0000.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/full_infer/est_wavs/1089-134686-0007_7021-85628-0018__T1__NORMAL__1089.wav,8000,34176,-1.1547957351901568,20.276824237260623,21.43161997245078
1089-134686-0007_7021-85628-0018__T2__NORMAL__7021,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0007_7021-85628-0018.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s2/1089-134686-0007_7021-85628-0018.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/7021/79730/7021-79730-0000.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/full_infer/est_wavs/1089-134686-0007_7021-85628-0018__T2__NORMAL__7021.wav,8000,34176,0.7731982436609441,21.109095541492145,20.3358972978312
1089-134686-0007_8455-210777-0052__T1__NORMAL__1089,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0007_8455-210777-0052.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s1/1089-134686-0007_8455-210777-0052.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0000.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/full_infer/est_wavs/1089-134686-0007_8455-210777-0052__T1__NORMAL__1089.wav,8000,34176,3.721867849994478,21.926435661187394,18.20456781119292
1089-134686-0007_8455-210777-0052__T2__NORMAL__8455,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0007_8455-210777-0052.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s2/1089-134686-0007_8455-210777-0052.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/8455/210777/8455-210777-0000.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/full_infer/est_wavs/1089-134686-0007_8455-210777-0052__T2__NORMAL__8455.wav,8000,34176,-3.428658100289461,18.16357091521914,21.5922290155086
1089-134686-0008_672-122797-0007__T1__NORMAL__1089,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0008_672-122797-0007.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s1/1089-134686-0008_672-122797-0007.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0000.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/full_infer/est_wavs/1089-134686-0008_672-122797-0007__T1__NORMAL__1089.wav,8000,51328,1.914799645269504,18.772536111561102,16.857736466291602
1089-134686-0008_672-122797-0007__T2__NORMAL__672,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0008_672-122797-0007.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s2/1089-134686-0008_672-122797-0007.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/672/122797/672-122797-0000.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/full_infer/est_wavs/1089-134686-0008_672-122797-0007__T2__NORMAL__672.wav,8000,51328,-1.9510314393982693,16.64613254833956,18.59716398773783
1089-134686-0008_8230-279154-0012__T1__NORMAL__1089,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0008_8230-279154-0012.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s1/1089-134686-0008_8230-279154-0012.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0000.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/full_infer/est_wavs/1089-134686-0008_8230-279154-0012__T1__NORMAL__1089.wav,8000,29120,0.283396868056579,21.75068473488809,21.467287866831512
1089-134686-0008_8230-279154-0012__T2__NORMAL__8230,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0008_8230-279154-0012.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s2/1089-134686-0008_8230-279154-0012.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/8230/279154/8230-279154-0000.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/full_infer/est_wavs/1089-134686-0008_8230-279154-0012__T2__NORMAL__8230.wav,8000,29120,-0.2952735528317508,21.49973399943611,21.79500755226786
1089-134686-0010_4507-16021-0023__T1__NORMAL__1089,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0010_4507-16021-0023.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s1/1089-134686-0010_4507-16021-0023.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0000.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/full_infer/est_wavs/1089-134686-0010_4507-16021-0023__T1__NORMAL__1089.wav,8000,35200,3.425098718355028,26.09147005484232,22.66637133648729
1089-134686-0010_4507-16021-0023__T2__NORMAL__4507,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0010_4507-16021-0023.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s2/1089-134686-0010_4507-16021-0023.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/4507/16021/4507-16021-0000.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/full_infer/est_wavs/1089-134686-0010_4507-16021-0023__T2__NORMAL__4507.wav,8000,35200,-3.2476840948577905,22.696171649120323,25.943855743978112
