key,target_spk,interferer_spk,num_chunks,ecapa_mismatch_rate,xvector_mismatch_rate,mv_speaker_mismatch_rate,waveform_interferer_rate,mv_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
5639-40744-0034_4507-16021-0058__T2__4507-4507-16021-0058__HSIMV3__3729-3729-6852-0027__SIR0,4507,3729,5,0.0,0.0,0.0,0.0,0.0,42.832474890924125,13.82330917520187
3729-6852-0046_672-122797-0044__T1__3729-3729-6852-0046__HSIMV3__4507-4507-16021-0023__SIR0,3729,4507,23,0.043478260869565216,0.0,0.0,0.0,0.0,40.709843679686124,15.995436533866505
3729-6852-0046_672-122797-0044__T2__672-672-122797-0044__HSIMV3__260-260-123288-0022__SIR0,672,260,6,0.0,0.0,0.0,0.0,0.0,51.204461841354906,16.550076304151467
2830-3980-0032_237-134500-0010__T1__2830-2830-3980-0032__HSIMV3__1188-1188-133604-0025__SIR0,2830,1188,13,0.07692307692307693,0.0,0.0,0.0,0.0,46.97653225366306,16.666390954296162
2830-3980-0032_237-134500-0010__T2__237-237-134500-0010__HSIMV3__5683-5683-32866-0007__SIR0,237,5683,6,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,40.57108935068977,4.759394236068177
2300-131720-0026_4446-2273-0008__T1__2300-2300-131720-0026__HSIMV3__61-61-70970-0004__SIR0,2300,61,20,0.35,0.1,0.1,0.0,0.0,43.91249202556812,18.1026815923995
2300-131720-0026_4446-2273-0008__T2__4446-4446-2273-0008__HSIMV3__1284-1284-1181-0014__SIR0,4446,1284,14,0.7857142857142857,0.9285714285714286,0.7857142857142857,1.0,0.7857142857142857,-64.18679265046713,-49.03525172096787
121-121726-0014_7021-79740-0000__T1__121-121-121726-0014__HSIMV3__237-237-134500-0027__SIR0,121,237,5,0.2,0.8,0.2,0.0,0.0,57.48576848632179,23.551568528006044
121-121726-0014_7021-79740-0000__T2__7021-7021-79740-0000__HSIMV3__5105-5105-28233-0005__SIR0,7021,5105,21,0.23809523809523808,0.19047619047619047,0.0,0.0,0.0,53.077582874624134,19.36869872872465
1320-122617-0025_260-123440-0019__T1__1320-1320-122617-0025__HSIMV3__5105-5105-28240-0019__SIR0,1320,5105,11,0.0,0.0,0.0,0.0,0.0,53.068881388915386,17.73982797869687
