chunks_1s,chunks_2s,ecapa_mismatch_rate_1s,ecapa_mismatch_rate_2s,interferer_spk,key,local_sisdr_gap_mean_1s,local_sisdr_gap_mean_2s,mv_mismatch_rate_1s,mv_mismatch_rate_2s,mv_true_swap_rate_1s,mv_true_swap_rate_2s,target_spk,utterance_si_sdr_gap,utterance_si_sdr_interferer,utterance_si_sdr_target,verifier_instability_rate_1s,verifier_instability_rate_2s
5,2,0.6,0.5,61,908-157963-0026_61-70970-0012,6.947671621568267,9.457228230784727,0.4,0.5,0.2,0.0,908,9.092034346705496,-4.771041563505349,4.320992783200147,0.2,0.0
5,2,0.6,0.5,908,908-157963-0026_61-70970-0012,-12.078282990574703,-16.24142336240525,0.4,0.5,0.4,0.5,61,-15.467214563771801,6.732809524806438,-8.734405038965363,0.6,0.5
7,3,0.0,0.0,1995,1089-134686-0007_1995-1836-0000,35.30686536669729,33.30191524567717,0.0,0.0,0.0,0.0,1089,34.7548826842511,-22.80011248977854,11.954770194472559,0.0,0.0
7,3,0.0,0.0,1089,1089-134686-0007_1995-1836-0000,36.99531575388392,31.955530616041568,0.0,0.0,0.0,0.0,1995,34.327544431658396,-21.894736288949325,12.432808142709074,0.0,0.0
8,3,0.25,0.0,4446,8555-284449-0001_4446-2275-0041,9.988672181575179,9.068413997182846,0.25,0.0,0.0,0.0,8555,11.296382170034942,-7.447972192949663,3.8484099770852795,0.5,1.0
8,3,0.0,0.0,8555,8555-284449-0001_4446-2275-0041,35.131609324433406,32.96518329812253,0.0,0.0,0.0,0.0,4446,33.868217128692706,-20.725262444522347,13.14295468417036,0.125,0.0
11,5,0.09090909090909091,0.0,1284,5105-28240-0019_1284-1181-0020,17.54927662085548,18.757571485717996,0.0,0.0,0.0,0.0,5105,16.567710854683337,-10.145453207140001,6.4222576475433355,0.18181818181818182,0.0
11,5,0.09090909090909091,0.0,5105,5105-28240-0019_1284-1181-0020,24.93895923787177,25.227963746275726,0.09090909090909091,0.0,0.0,0.0,1284,24.515841075665698,-16.79226588592099,7.723575189744709,0.36363636363636365,0.6
15,7,0.8,0.8571428571428571,61,908-157963-0023_61-70968-0049,-1.8977954049861556,0.7354349278987825,0.3333333333333333,0.42857142857142855,0.13333333333333333,0.0,908,-0.09321528747116603,-0.45162430705038503,-0.5448395945215511,0.4666666666666667,0.42857142857142855
15,7,0.0,0.0,908,908-157963-0023_61-70968-0049,19.836848235190118,18.414520024336696,0.0,0.0,0.0,0.0,61,19.044858407163492,-11.791001376495359,7.253857030668134,0.4666666666666667,0.42857142857142855
11,5,0.0,0.0,8455,3575-170457-0040_8455-210777-0002,28.730086744268625,27.072108208681907,0.0,0.0,0.0,0.0,3575,27.559591487250845,-19.585746644941274,7.973844842309572,0.0,0.0
11,5,0.0,0.0,3575,3575-170457-0040_8455-210777-0002,35.36965305677502,32.26901355741754,0.0,0.0,0.0,0.0,8455,30.895302211460752,-19.158922584885666,11.736379626575086,0.0,0.0
17,8,0.058823529411764705,0.0,6930,2094-142345-0003_6930-81414-0004,44.309140238013356,45.42846444914505,0.058823529411764705,0.0,0.0,0.0,2094,45.941292036009514,-29.65891049474466,16.282381541264858,0.058823529411764705,0.125
17,8,0.0,0.0,2094,2094-142345-0003_6930-81414-0004,24.453318328961608,23.273543210182737,0.0,0.0,0.0,0.0,6930,10.934444385583424,-10.628140611887197,0.3063037736962264,0.11764705882352941,0.0
5,2,0.0,0.0,61,1284-1180-0002_61-70970-0009,32.8889165436566,33.997464243769585,0.0,0.0,0.0,0.0,1284,31.636017660665736,-19.749795186848747,11.88622247381699,0.4,0.5
5,2,0.0,0.0,1284,1284-1180-0002_61-70970-0009,30.36539743462442,32.78526712894582,0.0,0.0,0.0,0.0,61,30.868214145421263,-21.79622833330702,9.071985812114242,0.0,0.0
