key,target_spk,interferer_spk,num_chunks,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_true_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
1089-134686-0015_5142-33396-0067__T2__SCV3FIX__VOICE-5142_CONTENT-1089-1089-134686-0015,5142,1089,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.9589874367213,21.53039905733169
1089-134686-0016_672-122797-0004__T1__SCV3FIX__VOICE-1089_CONTENT-672-672-122797-0004,1089,672,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.618822414156625,14.302085725974178
1089-134686-0016_672-122797-0004__T2__SCV3FIX__VOICE-672_CONTENT-1089-1089-134686-0016,672,1089,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.006809752713465,19.663485296531626
1089-134686-0017_1580-141084-0045__T1__SCV3FIX__VOICE-1089_CONTENT-1580-1580-141084-0045,1089,1580,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.459025806055344,16.588132023154852
1089-134686-0017_1580-141084-0045__T2__SCV3FIX__VOICE-1580_CONTENT-1089-1089-134686-0017,1580,1089,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.28445599619974,18.339093712712867
1089-134686-0019_5142-33396-0021__T1__SCV3FIX__VOICE-1089_CONTENT-5142-5142-33396-0021,1089,5142,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.71189657002869,14.654252574048346
1089-134686-0021_4992-41797-0018__T1__SCV3FIX__VOICE-1089_CONTENT-4992-4992-41797-0018,1089,4992,12,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,59.65882307795328,19.54375943449642
1089-134686-0021_4992-41797-0018__T2__SCV3FIX__VOICE-4992_CONTENT-1089-1089-134686-0021,4992,1089,12,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,61.48807278775038,18.87188298320727
1089-134686-0022_1580-141083-0044__T1__SCV3FIX__VOICE-1089_CONTENT-1580-1580-141083-0044,1089,1580,10,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,54.40879574816786,19.677145112018582
1089-134686-0022_1580-141083-0044__T2__SCV3FIX__VOICE-1580_CONTENT-1089-1089-134686-0022,1580,1089,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.212606333136456,19.052956530597385
1089-134686-0022_8455-210777-0023__T1__SCV3FIX__VOICE-1089_CONTENT-8455-8455-210777-0023,1089,8455,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.569498331990744,16.791284992743222
1089-134686-0022_8455-210777-0023__T2__SCV3FIX__VOICE-8455_CONTENT-1089-1089-134686-0022,8455,1089,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.107292596052304,17.981801245567663
1089-134686-0023_6829-68771-0020__T1__SCV3FIX__VOICE-1089_CONTENT-6829-6829-68771-0020,1089,6829,8,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,57.46950285243371,17.733790371224536
1089-134686-0024_1995-1836-0013__T1__SCV3FIX__VOICE-1089_CONTENT-1995-1995-1836-0013,1089,1995,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.27430353839951,22.03780447521425
1089-134686-0024_1995-1836-0013__T2__SCV3FIX__VOICE-1995_CONTENT-1089-1089-134686-0024,1995,1089,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.3813490159432,19.649402478140267
1089-134686-0024_5683-32865-0016__T1__SCV3FIX__VOICE-1089_CONTENT-5683-5683-32865-0016,1089,5683,5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,56.45626562456622,17.307488080311924
1089-134686-0024_5683-32865-0016__T2__SCV3FIX__VOICE-5683_CONTENT-1089-1089-134686-0024,5683,1089,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.997262687690366,22.045262093047587
1089-134686-0024_7176-92135-0042__T1__SCV3FIX__VOICE-1089_CONTENT-7176-7176-92135-0042,1089,7176,13,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,46.54238790323591,19.834496744887744
1089-134686-0024_7176-92135-0042__T2__SCV3FIX__VOICE-7176_CONTENT-1089-1089-134686-0024,7176,1089,13,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,56.50027045350933,12.812491489297772
1089-134686-0025_7127-75947-0035__T1__SCV3FIX__VOICE-1089_CONTENT-7127-7127-75947-0035,1089,7127,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.598586107480564,13.040206859487178
1089-134686-0025_7127-75947-0035__T2__SCV3FIX__VOICE-7127_CONTENT-1089-1089-134686-0025,7127,1089,7,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,50.29473661189578,17.46188531876596
1089-134686-0026_8224-274384-0010__T1__SCV3FIX__VOICE-1089_CONTENT-8224-8224-274384-0010,1089,8224,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.740170249383326,17.794675845696517
1089-134686-0026_8224-274384-0010__T2__SCV3FIX__VOICE-8224_CONTENT-1089-1089-134686-0026,8224,1089,7,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,54.73917741597736,14.436430960282562
1089-134686-0028_6829-68771-0025__T1__SCV3FIX__VOICE-1089_CONTENT-6829-6829-68771-0025,1089,6829,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.800383603800285,15.59128852062392
1089-134686-0028_6829-68771-0025__T2__SCV3FIX__VOICE-6829_CONTENT-1089-1089-134686-0028,6829,1089,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.53930791508945,19.24082962269511
1089-134686-0028_8224-274384-0005__T1__SCV3FIX__VOICE-1089_CONTENT-8224-8224-274384-0005,1089,8224,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.64493218564003,17.440348843216334
