key,target_spk,interferer_spk,mix_sisnr,est_sisnr,sisnr_i,est_path
1089-134691-0002_8455-210777-0005__T2__NBASIC__8455,8455,1089,-3.489183,-7.910000,-4.420000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134691-0002_8455-210777-0005__T2__NBASIC__8455.wav
1089-134691-0006_4446-2275-0012__T1__NBASIC__1089,1089,4446,2.979112,14.020000,11.040000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134691-0006_4446-2275-0012__T1__NBASIC__1089.wav
1089-134691-0006_4446-2275-0012__T2__NBASIC__4446,4446,1089,-2.754291,11.190000,13.950000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134691-0006_4446-2275-0012__T2__NBASIC__4446.wav
1089-134691-0013_4992-23283-0007__T1__NBASIC__1089,1089,4992,-2.906562,10.740000,13.650000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134691-0013_4992-23283-0007__T1__NBASIC__1089.wav
1089-134691-0013_4992-23283-0007__T2__NBASIC__4992,4992,1089,2.940394,13.730000,10.780000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134691-0013_4992-23283-0007__T2__NBASIC__4992.wav
1089-134691-0014_237-134500-0012__T1__NBASIC__1089,1089,237,-3.465979,12.450000,15.920000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134691-0014_237-134500-0012__T1__NBASIC__1089.wav
1089-134691-0014_237-134500-0012__T2__NBASIC__237,237,1089,3.718346,16.170000,12.450000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134691-0014_237-134500-0012__T2__NBASIC__237.wav
1089-134691-0015_3575-170457-0015__T1__NBASIC__1089,1089,3575,0.042879,13.010000,12.970000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134691-0015_3575-170457-0015__T1__NBASIC__1089.wav
1089-134691-0015_3575-170457-0015__T2__NBASIC__3575,3575,1089,0.197508,11.860000,11.660000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134691-0015_3575-170457-0015__T2__NBASIC__3575.wav
1089-134691-0020_7021-85628-0000__T1__NBASIC__1089,1089,7021,0.881140,14.070000,13.190000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134691-0020_7021-85628-0000__T1__NBASIC__1089.wav
1089-134691-0020_7021-85628-0000__T2__NBASIC__7021,7021,1089,-0.962725,13.200000,14.160000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134691-0020_7021-85628-0000__T2__NBASIC__7021.wav
1089-134691-0023_1580-141083-0000__T1__NBASIC__1089,1089,1580,6.814372,14.890000,8.080000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134691-0023_1580-141083-0000__T1__NBASIC__1089.wav
1089-134691-0023_1580-141083-0000__T2__NBASIC__1580,1580,1089,-6.852082,7.510000,14.360000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134691-0023_1580-141083-0000__T2__NBASIC__1580.wav
1089-134691-0025_4970-29095-0012__T1__NBASIC__1089,1089,4970,0.447679,11.550000,11.100000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134691-0025_4970-29095-0012__T1__NBASIC__1089.wav
1089-134691-0025_4970-29095-0012__T2__NBASIC__4970,4970,1089,-0.254043,11.130000,11.390000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134691-0025_4970-29095-0012__T2__NBASIC__4970.wav
1188-133604-0001_1995-1826-0012__T1__NBASIC__1188,1188,1995,-2.742949,12.230000,14.980000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0001_1995-1826-0012__T1__NBASIC__1188.wav
1188-133604-0001_1995-1826-0012__T2__NBASIC__1995,1995,1188,2.922301,15.460000,12.540000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0001_1995-1826-0012__T2__NBASIC__1995.wav
1188-133604-0004_672-122797-0017__T1__NBASIC__1188,1188,672,1.509681,10.580000,9.070000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0004_672-122797-0017__T1__NBASIC__1188.wav
1188-133604-0004_672-122797-0017__T2__NBASIC__672,672,1188,-1.543612,8.210000,9.750000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0004_672-122797-0017__T2__NBASIC__672.wav
1188-133604-0005_4446-2271-0003__T1__NBASIC__1188,1188,4446,4.824868,13.710000,8.900000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0005_4446-2271-0003__T1__NBASIC__1188.wav
1188-133604-0005_4446-2271-0003__T2__NBASIC__4446,4446,1188,-5.174753,8.420000,13.580000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0005_4446-2271-0003__T2__NBASIC__4446.wav
1188-133604-0011_4970-29095-0008__T1__NBASIC__1188,1188,4970,3.368264,11.740000,8.380000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0011_4970-29095-0008__T1__NBASIC__1188.wav
