key,target_spk,interferer_spk,mix_sisnr,est_sisnr,sisnr_i,est_path
1089-134686-0036_6930-75918-0008__T1__NBASIC__1089,1089,6930,0.932900,12.740000,11.810000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0036_6930-75918-0008__T1__NBASIC__1089.wav
1089-134686-0036_6930-75918-0008__T2__NBASIC__6930,6930,1089,-0.857438,11.650000,12.510000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0036_6930-75918-0008__T2__NBASIC__6930.wav
1089-134686-0037_4446-2271-0000__T1__NBASIC__1089,1089,4446,3.755554,13.450000,9.690000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0037_4446-2271-0000__T1__NBASIC__1089.wav
1089-134686-0037_4446-2271-0000__T2__NBASIC__4446,4446,1089,-3.829604,8.170000,12.000000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0037_4446-2271-0000__T2__NBASIC__4446.wav
1089-134691-0002_8455-210777-0005__T1__NBASIC__1089,1089,8455,3.616047,9.960000,6.340000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134691-0002_8455-210777-0005__T1__NBASIC__1089.wav
1089-134691-0002_8455-210777-0005__T2__NBASIC__8455,8455,1089,-3.489183,4.490000,7.980000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134691-0002_8455-210777-0005__T2__NBASIC__8455.wav
1089-134691-0006_4446-2275-0012__T1__NBASIC__1089,1089,4446,2.979112,14.210000,11.230000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134691-0006_4446-2275-0012__T1__NBASIC__1089.wav
1089-134691-0006_4446-2275-0012__T2__NBASIC__4446,4446,1089,-2.754291,11.190000,13.940000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134691-0006_4446-2275-0012__T2__NBASIC__4446.wav
1089-134691-0013_4992-23283-0007__T1__NBASIC__1089,1089,4992,-2.906562,10.320000,13.220000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134691-0013_4992-23283-0007__T1__NBASIC__1089.wav
1089-134691-0013_4992-23283-0007__T2__NBASIC__4992,4992,1089,2.940394,12.850000,9.910000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134691-0013_4992-23283-0007__T2__NBASIC__4992.wav
1089-134691-0014_237-134500-0012__T1__NBASIC__1089,1089,237,-3.465979,12.430000,15.900000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134691-0014_237-134500-0012__T1__NBASIC__1089.wav
1089-134691-0014_237-134500-0012__T2__NBASIC__237,237,1089,3.718346,15.790000,12.070000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134691-0014_237-134500-0012__T2__NBASIC__237.wav
1089-134691-0015_3575-170457-0015__T1__NBASIC__1089,1089,3575,0.042879,11.810000,11.770000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134691-0015_3575-170457-0015__T1__NBASIC__1089.wav
1089-134691-0015_3575-170457-0015__T2__NBASIC__3575,3575,1089,0.197508,12.030000,11.840000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134691-0015_3575-170457-0015__T2__NBASIC__3575.wav
1089-134691-0020_7021-85628-0000__T1__NBASIC__1089,1089,7021,0.881140,6.220000,5.340000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134691-0020_7021-85628-0000__T1__NBASIC__1089.wav
1089-134691-0020_7021-85628-0000__T2__NBASIC__7021,7021,1089,-0.962725,13.410000,14.370000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134691-0020_7021-85628-0000__T2__NBASIC__7021.wav
1089-134691-0023_1580-141083-0000__T1__NBASIC__1089,1089,1580,6.814372,14.880000,8.060000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134691-0023_1580-141083-0000__T1__NBASIC__1089.wav
1089-134691-0023_1580-141083-0000__T2__NBASIC__1580,1580,1089,-6.852082,7.540000,14.390000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134691-0023_1580-141083-0000__T2__NBASIC__1580.wav
1089-134691-0025_4970-29095-0012__T1__NBASIC__1089,1089,4970,0.447679,12.050000,11.600000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134691-0025_4970-29095-0012__T1__NBASIC__1089.wav
1089-134691-0025_4970-29095-0012__T2__NBASIC__4970,4970,1089,-0.254043,11.730000,11.980000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134691-0025_4970-29095-0012__T2__NBASIC__4970.wav
1188-133604-0001_1995-1826-0012__T1__NBASIC__1188,1188,1995,-2.742949,12.900000,15.640000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0001_1995-1826-0012__T1__NBASIC__1188.wav
1188-133604-0001_1995-1826-0012__T2__NBASIC__1995,1995,1188,2.922301,15.210000,12.290000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0001_1995-1826-0012__T2__NBASIC__1995.wav
1188-133604-0004_672-122797-0017__T1__NBASIC__1188,1188,672,1.509681,12.000000,10.490000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0004_672-122797-0017__T1__NBASIC__1188.wav
1188-133604-0004_672-122797-0017__T2__NBASIC__672,672,1188,-1.543612,-7.510000,-5.960000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0004_672-122797-0017__T2__NBASIC__672.wav
1188-133604-0005_4446-2271-0003__T1__NBASIC__1188,1188,4446,4.824868,13.970000,9.170000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0005_4446-2271-0003__T1__NBASIC__1188.wav
1188-133604-0005_4446-2271-0003__T2__NBASIC__4446,4446,1188,-5.174753,7.620000,12.780000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0005_4446-2271-0003__T2__NBASIC__4446.wav
1188-133604-0011_4970-29095-0008__T1__NBASIC__1188,1188,4970,3.368264,11.830000,8.460000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0011_4970-29095-0008__T1__NBASIC__1188.wav
1188-133604-0011_4970-29095-0008__T2__NBASIC__4970,4970,1188,-3.743516,7.780000,11.520000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0011_4970-29095-0008__T2__NBASIC__4970.wav
1188-133604-0012_5105-28241-0016__T1__NBASIC__1188,1188,5105,0.512314,13.480000,12.980000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0012_5105-28241-0016__T1__NBASIC__1188.wav
1188-133604-0012_5105-28241-0016__T2__NBASIC__5105,5105,1188,-0.602034,12.610000,13.200000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0012_5105-28241-0016__T2__NBASIC__5105.wav
1188-133604-0016_7176-88083-0018__T1__NBASIC__1188,1188,7176,3.036628,12.220000,9.190000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0016_7176-88083-0018__T1__NBASIC__1188.wav
1188-133604-0016_7176-88083-0018__T2__NBASIC__7176,7176,1188,-2.780720,8.240000,11.020000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0016_7176-88083-0018__T2__NBASIC__7176.wav
1188-133604-0017_6930-81414-0007__T1__NBASIC__1188,1188,6930,6.678407,17.650000,10.970000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0017_6930-81414-0007__T1__NBASIC__1188.wav
1188-133604-0017_6930-81414-0007__T2__NBASIC__6930,6930,1188,-6.651307,10.380000,17.030000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0017_6930-81414-0007__T2__NBASIC__6930.wav
1188-133604-0019_8224-274384-0008__T1__NBASIC__1188,1188,8224,4.059309,15.470000,11.410000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0019_8224-274384-0008__T1__NBASIC__1188.wav
1188-133604-0019_8224-274384-0008__T2__NBASIC__8224,8224,1188,-4.000030,8.480000,12.480000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0019_8224-274384-0008__T2__NBASIC__8224.wav
1188-133604-0020_3729-6852-0044__T1__NBASIC__1188,1188,3729,4.141903,17.770000,13.630000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0020_3729-6852-0044__T1__NBASIC__1188.wav
1188-133604-0020_3729-6852-0044__T2__NBASIC__3729,3729,1188,-4.091267,12.500000,16.580000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0020_3729-6852-0044__T2__NBASIC__3729.wav
1188-133604-0022_1221-135767-0019__T1__NBASIC__1188,1188,1221,4.659320,18.450000,13.800000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0022_1221-135767-0019__T1__NBASIC__1188.wav
1188-133604-0022_1221-135767-0019__T2__NBASIC__1221,1221,1188,-4.723206,13.100000,17.810000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0022_1221-135767-0019__T2__NBASIC__1221.wav
1188-133604-0025_4992-23283-0016__T1__NBASIC__1188,1188,4992,0.518562,9.550000,9.040000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0025_4992-23283-0016__T1__NBASIC__1188.wav
1188-133604-0025_4992-23283-0016__T2__NBASIC__4992,4992,1188,-0.521384,7.770000,8.290000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0025_4992-23283-0016__T2__NBASIC__4992.wav
1188-133604-0029_8455-210777-0003__T1__NBASIC__1188,1188,8455,5.971785,16.770000,10.800000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0029_8455-210777-0003__T1__NBASIC__1188.wav
1188-133604-0029_8455-210777-0003__T2__NBASIC__8455,8455,1188,-5.956406,7.630000,13.590000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0029_8455-210777-0003__T2__NBASIC__8455.wav
1188-133604-0033_7127-75947-0027__T1__NBASIC__1188,1188,7127,0.704260,15.050000,14.350000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0033_7127-75947-0027__T1__NBASIC__1188.wav
1188-133604-0033_7127-75947-0027__T2__NBASIC__7127,7127,1188,-0.647276,13.190000,13.840000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0033_7127-75947-0027__T2__NBASIC__7127.wav
1188-133604-0036_2961-960-0007__T1__NBASIC__1188,1188,2961,-0.775333,11.330000,12.100000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0036_2961-960-0007__T1__NBASIC__1188.wav
1188-133604-0036_2961-960-0007__T2__NBASIC__2961,2961,1188,0.355297,11.540000,11.180000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0036_2961-960-0007__T2__NBASIC__2961.wav
1188-133604-0038_5142-33396-0043__T1__NBASIC__1188,1188,5142,0.577025,16.730000,16.160000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0038_5142-33396-0043__T1__NBASIC__1188.wav
1188-133604-0038_5142-33396-0043__T2__NBASIC__5142,5142,1188,-0.681989,15.330000,16.010000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0038_5142-33396-0043__T2__NBASIC__5142.wav
1188-133604-0040_4970-29093-0002__T1__NBASIC__1188,1188,4970,1.089258,10.510000,9.420000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0040_4970-29093-0002__T1__NBASIC__1188.wav
1188-133604-0040_4970-29093-0002__T2__NBASIC__4970,4970,1188,-1.025173,10.170000,11.200000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1188-133604-0040_4970-29093-0002__T2__NBASIC__4970.wav
121-121726-0000_3570-5694-0022__T1__NBASIC__121,121,3570,1.894087,15.790000,13.900000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/121-121726-0000_3570-5694-0022__T1__NBASIC__121.wav
