key,target_spk,interferer_spk,speaker_similarity,chunks,ecapa_mismatch_rate,sb_mismatch_rate_enroll,sb_mismatch_rate_targetref,mv_mismatch_rate_enroll,mv_mismatch_rate_targetref,ecapa_true_swap_rate,mv_true_swap_rate_enroll,mv_true_swap_rate_targetref,sb_gap_enroll_mean,sb_gap_targetref_mean
260-123286-0015_237-134493-0001__T2__237-237-134493-0001__SIM__5683-5683-32866-0006,237,5683,0.47831958532333374,7,0.2857142857142857,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,3.333602632795062e-05,0.0006219489233834403
1580-141083-0006_7176-88083-0024__T1__1580-1580-141083-0006__SIM__4446-4446-2273-0002,1580,4446,0.42495131492614746,5,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.00022803544998168946,0.0005476474761962891
1580-141083-0006_7176-88083-0024__T2__7176-7176-88083-0024__SIM__61-61-70970-0031,7176,61,0.5299987196922302,9,0.4444444444444444,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.00020324521594577364,0.0016414456897311741
260-123286-0005_237-126133-0000__T1__260-260-123286-0005__SIM__672-672-122797-0068,260,672,0.5427588224411011,7,0.5714285714285714,0.7142857142857143,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,-0.00021344423294067383,0.0007255503109523229
260-123286-0005_237-126133-0000__T2__237-237-126133-0000__SIM__5683-5683-32865-0006,237,5683,0.47831958532333374,5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001193690299987793,0.0023981332778930664
4446-2271-0021_4970-29093-0013__T1__4446-4446-2271-0021__SIM__4992-4992-41806-0006,4446,4992,0.4965977966785431,6,0.5,1.0,0.16666666666666666,0.5,0.0,0.5,0.5,0.0,-0.0023227731386820474,0.0005138814449310303
4446-2271-0021_4970-29093-0013__T2__4970-4970-29093-0013__SIM__6829-6829-68769-0009,4970,6829,0.40176182985305786,7,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014207874025617326,0.0016638125692095076
5105-28233-0005_4446-2275-0013__T1__5105-5105-28233-0005__SIM__1320-1320-122617-0001,5105,1320,0.49767372012138367,21,0.38095238095238093,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.0,0.001283841473715646,0.0007909706660679408
5105-28233-0005_4446-2275-0013__T2__4446-4446-2275-0013__SIM__4992-4992-41797-0007,4446,4992,0.4965977966785431,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00127143661181132,0.0020609001318613687
1188-133604-0022_1221-135767-0019__T1__1188-1188-133604-0022__SIM__2830-2830-3980-0036,1188,2830,0.48153555393218994,10,0.2,0.8,0.0,0.2,0.0,0.0,0.0,0.0,-0.00010349750518798829,0.0009280741214752197
1188-133604-0022_1221-135767-0019__T2__1221-1221-135767-0019__SIM__4992-4992-41806-0001,1221,4992,0.4118971824645996,6,0.16666666666666666,1.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,-0.001021653413772583,0.0008709232012430826
1221-135766-0014_3729-6852-0011__T1__1221-1221-135766-0014__SIM__4992-4992-23283-0015,1221,4992,0.4118971824645996,6,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.5,0.3333333333333333,0.0,0.0,0.0,-0.00038112203280131024,-0.00043765703837076825
1221-135766-0014_3729-6852-0011__T2__3729-3729-6852-0011__SIM__4507-4507-16021-0021,3729,4507,0.5184850692749023,13,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0005985635977524978,0.0014286408057579626
1221-135766-0013_1284-1181-0013__T1__1221-1221-135766-0013__SIM__4992-4992-23283-0002,1221,4992,0.4118971824645996,5,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.00017920732498168945,0.0015979051589965821
1221-135766-0013_1284-1181-0013__T2__1284-1284-1181-0013__SIM__4446-4446-2271-0010,1284,4446,0.4268406331539154,5,0.8,1.0,1.0,0.8,0.8,0.0,0.0,0.0,-0.0008571863174438477,-0.0006558418273925782
121-123852-0004_7176-92135-0002__T1__121-121-123852-0004__SIM__3729-3729-6852-0018,121,3729,0.35364586114883423,11,0.9090909090909091,1.0,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,-0.005574166774749756,-0.0023199970071966
121-123852-0004_7176-92135-0002__T2__7176-7176-92135-0002__SIM__61-61-70970-0011,7176,61,0.5299987196922302,5,0.6,0.2,0.4,0.2,0.2,0.0,0.0,0.0,0.000417327880859375,0.0002415776252746582
2094-142345-0011_1580-141083-0001__T1__2094-2094-142345-0011__SIM__1995-1995-1837-0013,2094,1995,0.399920254945755,5,0.2,1.0,0.0,0.2,0.0,0.0,0.0,0.0,-0.0010693907737731934,0.0007296442985534668
2094-142345-0011_1580-141083-0001__T2__1580-1580-141083-0001__SIM__4446-4446-2275-0026,1580,4446,0.42495131492614746,9,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.00025469726986355253,0.0006599293814765082
61-70970-0000_121-121726-0002__T1__61-61-70970-0000__SIM__7176-7176-92135-0012,61,7176,0.5299987196922302,11,0.09090909090909091,0.2727272727272727,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0003328106620094993,0.0012313344261863015
61-70970-0000_121-121726-0002__T2__121-121-121726-0002__SIM__3729-3729-6852-0016,121,3729,0.35364586114883423,7,0.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,-0.0038708533559526715,0.0003511139324733189
7021-79730-0004_2830-3980-0009__T1__7021-7021-79730-0004__SIM__5105-5105-28233-0009,7021,5105,0.4939168095588684,28,0.17857142857142858,0.9285714285714286,0.8571428571428571,0.17857142857142858,0.17857142857142858,0.0,0.0,0.0,-0.0010504275560379028,-0.0005649370806557792
