case_category,case_rank,key,sisnr_i,ecapa_speaker_mismatch_rate,ecapa_speaker_gap_mean,sb_chunks,sb_gap_enroll_mean,sb_gap_enroll_p10,sb_gap_enroll_min,sb_mismatch_rate_enroll,sb_gap_targetref_mean,sb_gap_targetref_p10,sb_gap_targetref_min,sb_mismatch_rate_targetref,agree_with_ecapa_enroll,agree_with_ecapa_targetref
global_identity_disagreement,1,6829-68769-0031_260-123440-0014__T1__6829-6829-68769-0031__SIM__4970-4970-29095-0029,23.892643101490965,1.0,-0.03022504663905722,6,0.001805663195233102,0.0012407303794675362,0.0009821057708601089,0.0,0.0017262204686089115,0.001366734924593882,0.0013473633658779294,0.0,False,False
global_identity_disagreement,2,1995-1837-0015_1580-141083-0012__T1__1995-1995-1837-0015__SIM__2094-2094-142345-0053,22.354981836568225,1.0,-0.07693804427095588,5,0.0020432829874100777,0.0015286922529065272,0.0014853477180958308,0.0,0.002487146857880895,0.0020585298857053623,0.0020427704666453605,0.0,False,False
global_identity_disagreement,3,4970-29093-0008_1995-1826-0004__T2__1995-1995-1826-0004__SIM__2094-2094-142345-0032,22.29025291407944,1.0,-0.08069550868057782,5,0.002397859129000546,0.002145731534108153,0.002116620624446952,0.0,0.0030743480281926415,0.0021775961048492,0.0020585059707928233,0.0,False,False
global_identity_disagreement,4,1995-1837-0011_1580-141084-0009__T1__1995-1995-1837-0011__SIM__2094-2094-142345-0049,22.216493199399796,1.0,-0.062162487399012964,5,0.00114127400357662,0.000658524023237006,0.000441253176447165,0.0,0.0005562901656189778,0.00013452769292809919,-0.0001214146589791909,0.2,False,False
global_identity_disagreement,5,5142-33396-0026_8455-210777-0059__T1__5142-5142-33396-0026__SIM__4970-4970-29093-0009,22.150768006088654,1.0,-0.02939683738792568,5,0.0017158388922712486,0.0014762044180866463,0.0014628768546590676,0.0,0.003451656980235174,0.0032245156648200934,0.003189921210183244,0.0,False,False
recovery_candidate,1,6829-68771-0019_4992-41806-0001__T1__6829-6829-68771-0019__SIM__4970-4970-29095-0001,19.79630733000988,0.46153846153846156,-0.0013123539680806296,13,0.0015509453331529711,0.0008818153408906015,0.0007862452630578165,0.0,0.001214678856156004,0.0004898194528976774,0.00044238605579083323,0.0,True,True
recovery_candidate,2,1221-135766-0009_5142-33396-0058__T1__1221-1221-135766-0009__SIM__4992-4992-41797-0021,17.981749685446875,0.4666666666666667,0.0457130806771783,15,-0.00018569629096378825,-0.0007535815537406343,-0.0010220408844411333,0.6666666666666666,-0.00030697948197497087,-0.0007770416119143641,-0.0008313653179412572,0.8666666666666667,False,False
recovery_candidate,3,6930-75918-0010_6829-68769-0018__T2__6829-6829-68769-0018__SIM__4970-4970-29095-0031,21.97554188850905,0.46153846153846156,0.013834766598675155,13,0.0005207196293497418,-0.00019708904221618076,-0.0002896192876379322,0.15384615384615385,0.0008485360264281782,0.00023525921800584548,-0.00025749237911543155,0.07692307692307693,True,True
recovery_candidate,4,908-157963-0022_1089-134686-0023__T2__1089-1089-134686-0023__SIM__8230-8230-279154-0040,21.768750696591276,0.24,0.03926827075855771,25,0.00025564432183077467,-0.0005020499345701256,-0.0008068680601870382,0.36,0.0008720541031585105,0.0002454638507613627,-9.63807086741264e-05,0.04,True,True
recovery_candidate,5,5105-28240-0019_1320-122612-0015__T1__5105-5105-28240-0019__SIM__1320-1320-122617-0009,21.721081254442517,0.45454545454545453,0.012227444827821428,11,-4.7120185160792246e-05,-0.0005394816290724691,-0.0006017089128380615,0.5454545454545454,0.0014184656741242313,0.0009939668160975357,0.000876486099687046,0.0,False,True
