case_category,case_rank,key,chunk_idx,start_sec,end_sec,sb_sim_target_enroll,sb_sim_target_ref,sb_sim_interferer,sb_gap_enroll_vs_interferer,sb_gap_targetref_vs_interferer,sb_mismatch_enroll,sb_mismatch_targetref,ecapa_speaker_mismatch_rate,ecapa_speaker_gap_mean,sisnr_i
waveform_global_failure,4,61-70968-0013_8555-284449-0003__T2__8555-8555-284449-0003__SIM__4970-4970-29095-0029,5,2.5,3.5,0.993639687692514,0.9925249015980253,0.9933143655478364,0.00032532214467762,-0.0007894639498110534,False,True,0.8333333333333334,-0.05075326394271316,-62.5584169274936
waveform_global_failure,5,8555-284447-0006_1320-122617-0024__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0025,0,0.0,1.0,0.9942559990224243,0.9934379851875019,0.9948262367155634,-0.0005702376931390196,-0.001388251528061435,True,True,0.16666666666666666,0.025298628149460867,-61.63135893189921
waveform_global_failure,5,8555-284447-0006_1320-122617-0024__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0025,1,0.5,1.5,0.9939022457840443,0.993194262191016,0.9941735065331603,-0.00027126074911598685,-0.0009792443421442476,True,True,0.16666666666666666,0.025298628149460867,-61.63135893189921
waveform_global_failure,5,8555-284447-0006_1320-122617-0024__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0025,2,1.0,2.0,0.9930661713986675,0.992039362616946,0.9937693870255782,-0.0007032156269106693,-0.0017300244086321248,True,True,0.16666666666666666,0.025298628149460867,-61.63135893189921
waveform_global_failure,5,8555-284447-0006_1320-122617-0024__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0025,3,1.5,2.5,0.9917037879790797,0.990810374470902,0.993210176226148,-0.001506388247068391,-0.0023998017552460116,True,True,0.16666666666666666,0.025298628149460867,-61.63135893189921
waveform_global_failure,5,8555-284447-0006_1320-122617-0024__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0025,4,2.0,3.0,0.9926761781924566,0.9919205705622846,0.9941562211854909,-0.0014800429930342807,-0.002235650623206298,True,True,0.16666666666666666,0.025298628149460867,-61.63135893189921
waveform_global_failure,5,8555-284447-0006_1320-122617-0024__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0025,5,2.5,3.5,0.9936138781205547,0.9927428161879546,0.9937926324679702,-0.00017875434741554397,-0.0010498162800156585,True,True,0.16666666666666666,0.025298628149460867,-61.63135893189921
true_local_swap,1,8455-210777-0053_2830-3980-0009__T2__2830-2830-3980-0009__SIM__1188-1188-133604-0014,0,0.0,1.0,0.9938360846257233,0.9937737977694662,0.9939595854545891,-0.00012350082886580793,-0.00018578768512289567,True,True,1.0,-0.12831676023473096,-56.2882310729261
true_local_swap,1,8455-210777-0053_2830-3980-0009__T2__2830-2830-3980-0009__SIM__1188-1188-133604-0014,1,0.5,1.5,0.992490808187446,0.9924580256334751,0.9943578640430492,-0.0018670558556032057,-0.001899838409574084,True,True,1.0,-0.12831676023473096,-56.2882310729261
true_local_swap,1,8455-210777-0053_2830-3980-0009__T2__2830-2830-3980-0009__SIM__1188-1188-133604-0014,2,1.0,2.0,0.9929953614953785,0.992678324396159,0.9942885438425617,-0.0012931823471832304,-0.0016102194464027164,True,True,1.0,-0.12831676023473096,-56.2882310729261
true_local_swap,1,8455-210777-0053_2830-3980-0009__T2__2830-2830-3980-0009__SIM__1188-1188-133604-0014,3,1.5,2.5,0.9949844280563968,0.9946332971010475,0.9959003726143413,-0.0009159445579445258,-0.0012670755132937472,True,True,1.0,-0.12831676023473096,-56.2882310729261
