key,target_spk,interferer_spk,content_similarity,sisnr_i,num_chunks,content_mismatch_rate,waveform_interferer_rate,joint_content_waveform_rate,mean_content_gap,min_content_gap,mean_local_si_sdr_gap,content_segment_count,content_max_duration,content_mean_duration,content_first_position
5683-32865-0009_6829-68769-0016__T2__NBASIC__6829,6829,5683,normal_basic,3.57,7,0.7142857142857143,0.5714285714285714,0.42857142857142855,-0.10017498644305992,-0.3914764678549031,0.24638889782236514,1,1.5,1.5,1.0
5683-32865-0011_4970-29095-0035__T2__NBASIC__4970,4970,5683,normal_basic,8.94,8,0.125,0.0,0.0,0.21717980317096225,-0.07390104398632047,26.513889246461545,0,0.0,0.0,-1.0
5683-32865-0011_4970-29095-0035__T1__NBASIC__5683,5683,4970,normal_basic,-16.11,8,0.875,1.0,0.875,-0.16093216424438805,-0.35111026025036074,-23.137126119260763,1,3.5,3.5,0.0
5683-32865-0013_3570-5694-0001__T2__NBASIC__3570,3570,5683,normal_basic,15.56,9,0.0,0.0,0.0,0.3853372461586748,0.13111801328779105,41.97490857629366,0,0.0,0.0,-1.0
5683-32865-0013_3570-5694-0001__T1__NBASIC__5683,5683,3570,normal_basic,8.9,9,0.0,0.0,0.0,0.32786455055610364,0.12925857047009592,42.31331546336847,0,0.0,0.0,-1.0
5683-32866-0004_237-134500-0021__T2__NBASIC__237,237,5683,normal_basic,2.54,9,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.16956209437166636,-0.049429892505054585,11.872058660572886,0,0.0,0.0,-1.0
5683-32866-0004_237-134500-0021__T1__NBASIC__5683,5683,237,normal_basic,2.23,9,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.05300977227857213,-0.18611607370294292,9.892840446342502,1,1.0,1.0,0.5
5683-32866-0006_8463-294828-0027__T1__NBASIC__5683,5683,8463,normal_basic,11.26,7,0.0,0.0,0.0,0.30880824199685414,0.19986312300751874,42.26813400646683,0,0.0,0.0,-1.0
5683-32866-0006_8463-294828-0027__T2__NBASIC__8463,8463,5683,normal_basic,15.73,7,0.0,0.0,0.0,0.2994189332795857,0.20688277069220906,35.43827838194755,0,0.0,0.0,-1.0
5683-32866-0009_6829-68769-0020__T1__NBASIC__5683,5683,6829,normal_basic,9.36,9,0.0,0.0,0.0,0.22474138058091567,0.08068375419789031,36.94292812010102,0,0.0,0.0,-1.0
