chunks_1s,chunks_2s,ecapa_mismatch_rate_1s,ecapa_mismatch_rate_2s,interferer_spk,key,local_sisdr_gap_mean_1s,local_sisdr_gap_mean_2s,mv_mismatch_rate_1s,mv_mismatch_rate_2s,mv_true_swap_rate_1s,mv_true_swap_rate_2s,target_spk,utterance_si_sdr_gap,utterance_si_sdr_interferer,utterance_si_sdr_target,verifier_instability_rate_1s,verifier_instability_rate_2s
11,5,0.09090909090909091,0.0,2094,7021-79759-0005_2094-142345-0049,31.44466811537493,26.701835208977325,0.0,0.0,0.0,0.0,7021,28.436003549347312,-18.119925724566496,10.316077824780816,0.09090909090909091,0.0
11,5,0.0,0.0,7021,7021-79759-0005_2094-142345-0049,34.82701675550649,30.831512125639318,0.0,0.0,0.0,0.0,2094,33.64495259176721,-23.335851914782975,10.309100676984237,0.0,0.0
5,2,0.0,0.0,4446,1995-1836-0012_4446-2275-0034,64.71412406200207,58.25944553525749,0.0,0.0,0.0,0.0,1995,56.33467268095977,-39.34795239370733,16.98672028725244,0.0,0.0
5,2,0.0,0.0,1995,1995-1836-0012_4446-2275-0034,46.330093191093965,45.48022085689587,0.0,0.0,0.0,0.0,4446,42.93676752216723,-28.443629259384778,14.493138262782455,0.4,0.0
6,2,0.0,0.0,6829,2830-3980-0007_6829-68769-0014,35.56816465644042,35.77078655672533,0.0,0.0,0.0,0.0,2830,37.63269538006763,-23.777108752258,13.85558662780963,0.0,0.0
6,2,0.0,0.0,2830,2830-3980-0007_6829-68769-0014,39.70609054108422,37.823475387980025,0.0,0.0,0.0,0.0,6829,39.94166959466591,-25.843798531157212,14.097871063508702,0.0,0.0
5,2,0.0,0.0,121,1284-1181-0000_121-121726-0008,53.95214844134912,55.84225086373142,0.0,0.0,0.0,0.0,1284,48.45848933826059,-29.805918320906166,18.652571017354425,0.0,0.0
5,2,0.0,0.0,1284,1284-1181-0000_121-121726-0008,38.33313406161295,39.28231893092082,0.0,0.0,0.0,0.0,121,32.09755417246764,-22.133795861409197,9.963758311058443,1.0,1.0
7,3,0.0,0.0,8555,7021-85628-0016_8555-284449-0002,44.178631343265735,46.41001611571621,0.0,0.0,0.0,0.0,7021,42.90194178014579,-29.39630681853089,13.505634961614899,0.0,0.0
7,3,0.0,0.0,7021,7021-85628-0016_8555-284449-0002,49.45515068334432,46.12049684500895,0.0,0.0,0.0,0.0,8555,49.21087828921296,-32.75066308016616,16.460215209046794,0.0,0.0
8,3,0.0,0.0,1995,4970-29093-0007_1995-1826-0002,45.026705819364295,45.43445991467811,0.0,0.0,0.0,0.0,4970,43.18394361086209,-29.380426427411543,13.803517183450545,0.0,0.0
8,3,0.0,0.0,4970,4970-29093-0007_1995-1826-0002,49.82756994191506,50.73497492641602,0.0,0.0,0.0,0.0,1995,49.587501054532744,-33.065038417579025,16.52246263695372,0.125,0.0
7,3,0.0,0.0,1284,237-134500-0040_1284-134647-0007,30.23740365568879,30.354315712552296,0.0,0.0,0.0,0.0,237,30.301965088939156,-20.819202921358325,9.482762167580832,0.14285714285714285,0.0
7,3,0.0,0.0,237,237-134500-0040_1284-134647-0007,35.32733123177946,36.36537308849907,0.0,0.0,0.0,0.0,1284,35.278559959086024,-22.341647016734587,12.936912942351434,0.0,0.0
12,5,0.0,0.0,5105,3575-170457-0047_5105-28240-0009,38.183814816607786,38.32159976062378,0.0,0.0,0.0,0.0,3575,38.364305365030155,-26.49379873109735,11.870506633932807,0.0,0.0
12,5,0.0,0.0,3575,3575-170457-0047_5105-28240-0009,38.47913148882548,39.055502498742335,0.0,0.0,0.0,0.0,5105,37.42446754920559,-23.76818659967952,13.656280949526069,0.0,0.0
17,8,0.0,0.0,1089,4077-13751-0008_1089-134691-0016,32.087615231071325,31.97547867978252,0.0,0.0,0.0,0.0,4077,30.870797537019953,-21.911702292308103,8.95909524471185,0.0,0.0
17,8,0.17647058823529413,0.125,4077,4077-13751-0008_1089-134691-0016,40.5545762423282,38.22674033656147,0.0,0.0,0.0,0.0,1089,39.149246160355155,-25.031109735170304,14.11813642518485,0.29411764705882354,0.125
6,2,0.0,0.0,8455,4970-29093-0004_8455-210777-0070,39.81652650326051,41.42201102176349,0.0,0.0,0.0,0.0,4970,41.79484219140157,-28.93561852273088,12.85922366867069,0.0,0.0
6,2,0.16666666666666666,0.0,4970,4970-29093-0004_8455-210777-0070,40.22452437603561,40.546878392716096,0.0,0.0,0.0,0.0,8455,41.662843984387514,-28.09935184855464,13.563492135832876,0.3333333333333333,0.0
11,5,0.09090909090909091,0.0,7127,6930-76324-0020_7127-75946-0015,21.008206174437113,20.57991623460537,0.0,0.0,0.0,0.0,6930,21.94358202648887,-14.625241126042255,7.3183409004466125,0.18181818181818182,0.0
11,5,0.45454545454545453,0.6,6930,6930-76324-0020_7127-75946-0015,1.7546365734995362,3.8141996471005415,0.2727272727272727,0.6,0.2727272727272727,0.4,7127,4.022280779330885,-3.0429962889827253,0.9792844903481588,0.5454545454545454,0.2
7,3,0.0,0.0,5105,7176-88083-0009_5105-28241-0002,40.55539314589122,40.95609985885544,0.0,0.0,0.0,0.0,7176,40.946005150446645,-26.760459028277225,14.185546122169422,0.0,0.0
7,3,0.0,0.0,7176,7176-88083-0009_5105-28241-0002,39.83297598867413,39.56066184945471,0.0,0.0,0.0,0.0,5105,40.24564905918163,-28.049275314746676,12.196373744434958,0.2857142857142857,0.0
9,4,0.0,0.0,4992,7176-92135-0012_4992-41797-0000,41.50746185905215,41.613506489020594,0.0,0.0,0.0,0.0,7176,42.569184490107574,-28.059895679909616,14.509288810197958,0.0,0.0
9,4,0.0,0.0,7176,7176-92135-0012_4992-41797-0000,49.11005434886061,44.45474984228655,0.0,0.0,0.0,0.0,4992,45.19984814631384,-31.099527155302486,14.100320991011351,0.1111111111111111,0.0
7,3,0.2857142857142857,0.3333333333333333,2961,672-122797-0046_2961-961-0003,1.4692138935967964,-0.8110067035553836,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.3333333333333333,672,-1.1664351803281154,-3.446974507860023,-4.613409688188138,0.42857142857142855,0.3333333333333333
7,3,0.14285714285714285,0.0,672,672-122797-0046_2961-961-0003,25.337152479872657,20.97589716631239,0.0,0.0,0.0,0.0,2961,24.53191018211765,-15.135747922715568,9.396162259402082,0.14285714285714285,0.0
7,3,0.0,0.0,3575,2830-3980-0072_3575-170457-0021,36.60529582754085,34.19356055871044,0.0,0.0,0.0,0.0,2830,36.77138524793741,-25.053363387171004,11.718021860766408,0.0,0.0
7,3,0.0,0.0,2830,2830-3980-0072_3575-170457-0021,40.803592943469866,39.4190489304124,0.0,0.0,0.0,0.0,3575,41.74149464429664,-27.694676241758614,14.046818402538026,0.0,0.0
6,2,1.0,1.0,5142,8463-287645-0013_5142-33396-0037,-35.93201175563244,-36.408971456752674,0.6666666666666666,1.0,0.6666666666666666,1.0,8463,-39.12787467077914,14.984846537402367,-24.143028133376777,0.3333333333333333,0.0
6,2,0.0,0.0,8463,8463-287645-0013_5142-33396-0037,38.312077851314754,38.41282355982956,0.0,0.0,0.0,0.0,5142,41.51667769737513,-26.420257372770845,15.096420324604281,0.5,0.5
11,5,0.9090909090909091,1.0,2961,8463-287645-0011_2961-960-0005,-29.672540267522322,-32.052715303191796,0.9090909090909091,1.0,0.9090909090909091,1.0,8463,-32.35386352937244,12.019773943143779,-20.33408958622866,0.09090909090909091,0.0
11,5,0.0,0.0,8463,8463-287645-0011_2961-960-0005,39.02047183930619,40.499373084532664,0.0,0.0,0.0,0.0,2961,40.19500198363289,-26.6988349737631,13.496167009869795,0.0,0.0
16,7,0.0625,0.0,4992,5142-36377-0022_4992-41797-0015,28.490085204033164,26.991586945324805,0.0,0.0,0.0,0.0,5142,29.0923920851015,-19.531568300378993,9.560823784722508,0.125,0.0
16,7,0.0625,0.0,5142,5142-36377-0022_4992-41797-0015,24.71495280847205,24.21631846623024,0.0,0.0,0.0,0.0,4992,25.37237890156581,-17.19366971003693,8.17870919152888,0.0625,0.0
12,5,0.0,0.0,1089,2300-131720-0030_1089-134686-0025,35.68026164690807,35.657046091775655,0.0,0.0,0.0,0.0,2300,35.70353763891983,-20.870149514501854,14.833388124417981,0.0,0.0
12,5,0.0,0.0,2300,2300-131720-0030_1089-134686-0025,29.07606575231642,29.830202470870233,0.0,0.0,0.0,0.0,1089,30.443762279543613,-23.606567380516235,6.837194899027375,0.4166666666666667,0.0
6,2,0.0,0.0,1580,1320-122617-0003_1580-141084-0014,43.59713712306049,42.30787503008972,0.0,0.0,0.0,0.0,1320,44.48314174818177,-27.233713043632108,17.249428704549665,0.0,0.0
6,2,0.0,0.0,1320,1320-122617-0003_1580-141084-0014,33.96843063377414,32.63965301645295,0.0,0.0,0.0,0.0,1580,34.58587147288975,-25.913053453459757,8.672818019429991,0.0,0.0
13,6,0.0,0.0,7127,4992-41806-0001_7127-75947-0028,40.427954757101425,40.59810377844813,0.0,0.0,0.0,0.0,4992,39.64826740721982,-27.414515403821422,12.2337520033984,0.0,0.0
13,6,0.0,0.0,4992,4992-41806-0001_7127-75947-0028,41.414540733137315,40.919529021091726,0.0,0.0,0.0,0.0,7127,41.03020817957358,-27.174193278557347,13.856014901016234,0.07692307692307693,0.0
