key,target_spk,interferer_spk,num_chunks,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_true_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
1089-134686-0015_4970-29093-0003__T2__SCV3FIX__VOICE-4970_CONTENT-1089-1089-134686-0015,4970,1089,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.38277063184941,28.28671365642172
1089-134686-0015_5142-33396-0067__T1__SCV3FIX__VOICE-1089_CONTENT-5142-5142-33396-0067,1089,5142,10,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,66.62473155790333,23.4783590015368
1089-134686-0015_5142-33396-0067__T2__SCV3FIX__VOICE-5142_CONTENT-1089-1089-134686-0015,5142,1089,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.52791205045943,27.52187907012992
1089-134686-0016_672-122797-0004__T1__SCV3FIX__VOICE-1089_CONTENT-672-672-122797-0004,1089,672,5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,22.73177515655601,-3.053156111681869
1089-134686-0016_672-122797-0004__T2__SCV3FIX__VOICE-672_CONTENT-1089-1089-134686-0016,672,1089,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.045826459071634,23.404878389487862
1089-134686-0017_1580-141084-0045__T1__SCV3FIX__VOICE-1089_CONTENT-1580-1580-141084-0045,1089,1580,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.33255166674951,22.336306430026266
1089-134686-0017_1580-141084-0045__T2__SCV3FIX__VOICE-1580_CONTENT-1089-1089-134686-0017,1580,1089,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.27335817316084,23.81134617517406
1089-134686-0019_5142-33396-0021__T1__SCV3FIX__VOICE-1089_CONTENT-5142-5142-33396-0021,1089,5142,6,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,60.99201990733869,20.907956097727848
1089-134686-0021_4992-41797-0018__T1__SCV3FIX__VOICE-1089_CONTENT-4992-4992-41797-0018,1089,4992,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0079253831243,21.064787526734413
1089-134686-0021_4992-41797-0018__T2__SCV3FIX__VOICE-4992_CONTENT-1089-1089-134686-0021,4992,1089,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.97833961793998,20.43776681798065
1089-134686-0022_1580-141083-0044__T1__SCV3FIX__VOICE-1089_CONTENT-1580-1580-141083-0044,1089,1580,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.62616879580928,22.920439334068504
1089-134686-0022_1580-141083-0044__T2__SCV3FIX__VOICE-1580_CONTENT-1089-1089-134686-0022,1580,1089,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.841512476556275,22.9032301922982
1089-134686-0022_8455-210777-0023__T1__SCV3FIX__VOICE-1089_CONTENT-8455-8455-210777-0023,1089,8455,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.140896563371,20.107049172745448
1089-134686-0022_8455-210777-0023__T2__SCV3FIX__VOICE-8455_CONTENT-1089-1089-134686-0022,8455,1089,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.17577617897865,20.93975082934961
1089-134686-0023_6829-68771-0020__T1__SCV3FIX__VOICE-1089_CONTENT-6829-6829-68771-0020,1089,6829,8,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,64.52928705807888,21.3191179587812
1089-134686-0024_1995-1836-0013__T1__SCV3FIX__VOICE-1089_CONTENT-1995-1995-1836-0013,1089,1995,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.31676369935487,26.820543790863404
1089-134686-0024_1995-1836-0013__T2__SCV3FIX__VOICE-1995_CONTENT-1089-1089-134686-0024,1995,1089,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.54472778113963,23.65515554248997
1089-134686-0024_5683-32865-0016__T1__SCV3FIX__VOICE-1089_CONTENT-5683-5683-32865-0016,1089,5683,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.558734748015716,21.23374519066014
1089-134686-0024_5683-32865-0016__T2__SCV3FIX__VOICE-5683_CONTENT-1089-1089-134686-0024,5683,1089,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.82428644847339,25.820726890589054
1089-134686-0024_7176-92135-0042__T1__SCV3FIX__VOICE-1089_CONTENT-7176-7176-92135-0042,1089,7176,13,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,57.90225660498992,24.054276354290725
1089-134686-0024_7176-92135-0042__T2__SCV3FIX__VOICE-7176_CONTENT-1089-1089-134686-0024,7176,1089,13,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,65.43525468872728,15.867678179393453
1089-134686-0025_7127-75947-0035__T1__SCV3FIX__VOICE-1089_CONTENT-7127-7127-75947-0035,1089,7127,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.83996962359275,19.08240434833642
1089-134686-0025_7127-75947-0035__T2__SCV3FIX__VOICE-7127_CONTENT-1089-1089-134686-0025,7127,1089,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.03666342466759,23.680427200403194
1089-134686-0026_8224-274384-0010__T1__SCV3FIX__VOICE-1089_CONTENT-8224-8224-274384-0010,1089,8224,7,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,50.27046420860514,19.20864989677203
1089-134686-0026_8224-274384-0010__T2__SCV3FIX__VOICE-8224_CONTENT-1089-1089-134686-0026,8224,1089,7,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,57.241157734682716,16.671484186819022
1089-134686-0028_6829-68771-0025__T1__SCV3FIX__VOICE-1089_CONTENT-6829-6829-68771-0025,1089,6829,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.64266822419732,20.89362220828732
1089-134686-0028_6829-68771-0025__T2__SCV3FIX__VOICE-6829_CONTENT-1089-1089-134686-0028,6829,1089,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.17061124846145,23.23585130546917
1089-134686-0028_8224-274384-0005__T1__SCV3FIX__VOICE-1089_CONTENT-8224-8224-274384-0005,1089,8224,14,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.21428571428571427,2.137307133173774,-1.0285347970445766
1089-134686-0028_8224-274384-0005__T2__SCV3FIX__VOICE-8224_CONTENT-1089-1089-134686-0028,8224,1089,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.77521426144665,17.559500063105553
1089-134686-0029_121-127105-0007__T1__SCV3FIX__VOICE-1089_CONTENT-121-121-127105-0007,1089,121,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.295167763882915,22.587900204446942
1089-134686-0029_121-127105-0007__T2__SCV3FIX__VOICE-121_CONTENT-1089-1089-134686-0029,121,1089,8,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,59.32512096214528,17.934114002413285
1089-134686-0031_1320-122612-0008__T1__SCV3FIX__VOICE-1089_CONTENT-1320-1320-122612-0008,1089,1320,12,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,60.69953833947299,19.653938478576297
1089-134686-0031_1320-122612-0008__T2__SCV3FIX__VOICE-1320_CONTENT-1089-1089-134686-0031,1320,1089,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.30080053814606,24.200746694540182
1089-134686-0031_61-70968-0026__T1__SCV3FIX__VOICE-1089_CONTENT-61-61-70968-0026,1089,61,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.94437134064225,20.09004407897101
1089-134686-0031_61-70968-0026__T2__SCV3FIX__VOICE-61_CONTENT-1089-1089-134686-0031,61,1089,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.75059255795815,19.038556221206168
1089-134686-0032_4507-16021-0049__T1__SCV3FIX__VOICE-1089_CONTENT-4507-4507-16021-0049,1089,4507,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.109755575520474,23.49636744859872
1089-134686-0032_4507-16021-0049__T2__SCV3FIX__VOICE-4507_CONTENT-1089-1089-134686-0032,4507,1089,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.29998221477281,19.52268376666365
1089-134686-0032_6829-68771-0030__T1__SCV3FIX__VOICE-1089_CONTENT-6829-6829-68771-0030,1089,6829,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.04940471929775,21.93254837451057
1089-134686-0032_6829-68771-0030__T2__SCV3FIX__VOICE-6829_CONTENT-1089-1089-134686-0032,6829,1089,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.393380393747655,25.90398735709346
1089-134686-0033_1320-122612-0001__T1__SCV3FIX__VOICE-1089_CONTENT-1320-1320-122612-0001,1089,1320,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.626896749446374,23.62901242936112
1089-134686-0033_1320-122612-0001__T2__SCV3FIX__VOICE-1320_CONTENT-1089-1089-134686-0033,1320,1089,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.19240376820808,18.088768003617933
1089-134686-0034_5639-40744-0005__T1__SCV3FIX__VOICE-1089_CONTENT-5639-5639-40744-0005,1089,5639,10,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,55.87179614040322,24.169458376768983
1089-134686-0034_5639-40744-0005__T2__SCV3FIX__VOICE-5639_CONTENT-1089-1089-134686-0034,5639,1089,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.690178143470966,18.415874895202663
1089-134686-0034_8455-210777-0067__T1__SCV3FIX__VOICE-1089_CONTENT-8455-8455-210777-0067,1089,8455,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.017247104860324,19.636004625781503
1089-134686-0034_8463-294828-0036__T1__SCV3FIX__VOICE-1089_CONTENT-8463-8463-294828-0036,1089,8463,10,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,58.192690312453934,25.26752027829899
1089-134686-0034_8463-294828-0036__T2__SCV3FIX__VOICE-8463_CONTENT-1089-1089-134686-0034,8463,1089,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.860457466725734,21.79051002568707
1089-134686-0035_2300-131720-0025__T2__SCV3FIX__VOICE-2300_CONTENT-1089-1089-134686-0035,2300,1089,5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,56.67897870400734,21.18271099244772
1089-134686-0035_5683-32866-0010__T2__SCV3FIX__VOICE-5683_CONTENT-1089-1089-134686-0035,5683,1089,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.67984248518383,19.19886396250973
1089-134686-0036_6930-75918-0008__T1__SCV3FIX__VOICE-1089_CONTENT-6930-6930-75918-0008,1089,6930,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.10110975667722,15.815924604718337
1089-134686-0036_6930-75918-0008__T2__SCV3FIX__VOICE-6930_CONTENT-1089-1089-134686-0036,6930,1089,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.28248667708135,19.037679157569315
1089-134686-0037_2094-142345-0001__T1__SCV3FIX__VOICE-1089_CONTENT-2094-2094-142345-0001,1089,2094,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.668351565759224,9.461123742042036
1089-134686-0037_4446-2271-0000__T1__SCV3FIX__VOICE-1089_CONTENT-4446-4446-2271-0000,1089,4446,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.67243687187706,17.01894931569087
