key,target_spk,interferer_spk,num_chunks,mean_local_target_interferer_si_sdr_gap,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_si_sdr_confirmed_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_si_sdr_confirmed_drift_rate,any_two_verifier_content_mismatch,any_two_verifier_si_sdr_confirmed_drift,any_tri_verifier_content_mismatch,any_tri_verifier_si_sdr_confirmed_drift,two_verifier_content_mismatch_ge20pct,two_verifier_si_sdr_confirmed_drift_ge20pct,tri_verifier_content_mismatch_ge20pct,tri_verifier_si_sdr_confirmed_drift_ge20pct
1188-133604-0020_3729-6852-0044__T2__NBASIC__3729,3729,1188,12,34.74797420009854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0022_1221-135767-0019__T1__NBASIC__1188,1188,1221,6,48.5628316057424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0022_1221-135767-0019__T2__NBASIC__1221,1221,1188,6,44.2364498014634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0025_4992-23283-0016__T1__NBASIC__1188,1188,4992,7,23.432370791040483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0025_4992-23283-0016__T2__NBASIC__4992,4992,1188,7,-13.904324790072087,1.0,1.0,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,1,1,1,1,1,1,1,1
1188-133604-0029_8455-210777-0003__T1__NBASIC__1188,1188,8455,6,41.85374225358018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0029_8455-210777-0003__T2__NBASIC__8455,8455,1188,6,32.22635434817214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0033_7127-75947-0027__T1__NBASIC__1188,1188,7127,12,38.916811285284695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0033_7127-75947-0027__T2__NBASIC__7127,7127,1188,12,38.18274753672355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0036_2961-960-0007__T1__NBASIC__1188,1188,2961,14,34.872923071288554,0.0,0.14285714285714285,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,1,0,0,0,0,0,0,0
1188-133604-0036_2961-960-0007__T2__NBASIC__2961,2961,1188,14,38.06895128507515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0038_5142-33396-0043__T1__NBASIC__1188,1188,5142,6,49.00217712188015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0038_5142-33396-0043__T2__NBASIC__5142,5142,1188,6,42.13014614710726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0040_4970-29093-0002__T1__NBASIC__1188,1188,4970,5,35.9223633522736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1188-133604-0040_4970-29093-0002__T2__NBASIC__4970,4970,1188,5,28.36158940608914,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0000_3570-5694-0022__T1__NBASIC__121,121,3570,7,37.72390544703315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0000_3570-5694-0022__T2__NBASIC__3570,3570,121,7,35.7000138742346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0003_672-122797-0059__T1__NBASIC__121,121,672,6,13.406316880555083,0.0,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.0,0.3333333333333333,0.0,1,0,1,0,1,0,1,0
121-121726-0003_672-122797-0059__T2__NBASIC__672,672,121,6,20.186716247925574,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-121726-0006_61-70970-0003__T1__NBASIC__121,121,61,6,32.19862583691186,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.0,1,0,1,0,1,0,0,0
