chunks_1s,chunks_2s,ecapa_mismatch_rate_1s,ecapa_mismatch_rate_2s,interferer_spk,key,local_sisdr_gap_mean_1s,local_sisdr_gap_mean_2s,mv_mismatch_rate_1s,mv_mismatch_rate_2s,mv_true_swap_rate_1s,mv_true_swap_rate_2s,target_spk,utterance_si_sdr_gap,utterance_si_sdr_interferer,utterance_si_sdr_target,verifier_instability_rate_1s,verifier_instability_rate_2s
16,7,0.0,0.0,7127,7127-75947-0040_237-126133-0002,39.28278336592186,40.85805991467266,0.0,0.0,0.0,0.0,237,36.85029680775924,-27.400939822056184,9.44935698570306,0.0625,0.0
8,3,0.0,0.0,672,4446-2273-0015_672-122797-0071,37.569092305354914,38.49924864466786,0.0,0.0,0.0,0.0,4446,38.70639180416897,-25.061552861358265,13.644838942810706,0.0,0.0
8,3,0.0,0.0,4446,4446-2273-0015_672-122797-0071,29.087593384498298,28.367326975876562,0.0,0.0,0.0,0.0,672,28.292544051168193,-18.056381096284085,10.236162954884108,0.0,0.0
10,4,0.0,0.0,4992,1580-141084-0002_4992-41797-0004,30.3853313181448,31.233962456732115,0.0,0.0,0.0,0.0,1580,22.935866736965593,-16.372870401524853,6.562996335440742,0.0,0.0
10,4,0.3,0.0,1580,1580-141084-0002_4992-41797-0004,33.40180031375816,34.401666896947255,0.0,0.0,0.0,0.0,4992,21.71071165199449,-14.73760036848935,6.9731112835051405,0.5,0.25
7,3,0.0,0.0,5683,61-70968-0053_5683-32865-0008,38.85783500387238,37.911039315916774,0.0,0.0,0.0,0.0,61,39.93167476681188,-24.89014342538324,15.041531341428637,0.0,0.0
7,3,0.0,0.0,61,61-70968-0053_5683-32865-0008,26.28653234564427,25.969731728750862,0.0,0.0,0.0,0.0,5683,30.532785864393546,-22.022960488145845,8.509825376247703,0.14285714285714285,0.0
12,5,0.0,0.0,8555,8230-279154-0001_8555-284447-0005,50.075590144548705,49.41661968325893,0.0,0.0,0.0,0.0,8230,48.99685581982301,-32.40053421044977,16.596321609373238,0.0,0.0
12,5,0.0,0.0,8230,8230-279154-0001_8555-284447-0005,49.2411714872408,52.239476064280325,0.0,0.0,0.0,0.0,8555,48.97547702850303,-33.925714321529,15.049762706974029,0.0,0.0
7,3,0.0,0.0,5142,7127-75947-0018_5142-36377-0002,29.940140021192104,28.082519867545756,0.0,0.0,0.0,0.0,7127,29.408074216616573,-19.26579443107739,10.142279785539184,0.0,0.0
7,3,0.0,0.0,7127,7127-75947-0018_5142-36377-0002,30.93066536916934,29.411656345270597,0.0,0.0,0.0,0.0,5142,30.493831179212354,-20.538153524377442,9.955677654834911,0.0,0.0
5,2,0.2,0.0,4446,4970-29093-0000_4446-2273-0002,30.566306008722982,29.963385382804532,0.0,0.0,0.0,0.0,4970,29.671788763312136,-19.71824176970652,9.953546993605617,0.4,0.0
5,2,0.0,0.0,4970,4970-29093-0000_4446-2273-0002,37.330995376404566,36.092406387577114,0.0,0.0,0.0,0.0,4446,36.77022371833462,-23.9710224794646,12.799201238870017,0.0,0.0
9,4,0.3333333333333333,0.0,5683,672-122797-0006_5683-32865-0017,20.62526075914056,22.986514961150046,0.0,0.0,0.0,0.0,672,21.263630302598102,-14.186095216951632,7.077535085646469,0.7777777777777778,0.75
