cue,key,target_spk,mix_path,target_path,est_path,mix_sisnr,est_sisnr,sisnr_i
USEF,121-121726-0014_7021-79740-0000__T1__121-121-121726-0014__SIM__237-237-126133-0002,121,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/121-121726-0014_7021-79740-0000__T1__121-121-121726-0014__SIM__237-237-126133-0002.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/121-121726-0014_7021-79740-0000__T1__121-121-121726-0014__SIM__237-237-126133-0002.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt197-121-121726-0014_7021-79740-0000__T1__121-121-121726-0014__SIM__237-237-126133-0002-T121.wav,-0.043715490479302704,15.132784772663722,15.176500263143025
USEF,121-121726-0014_7021-79740-0000__T2__7021-7021-79740-0000__SIM__5105-5105-28240-0008,7021,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/121-121726-0014_7021-79740-0000__T2__7021-7021-79740-0000__SIM__5105-5105-28240-0008.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/121-121726-0014_7021-79740-0000__T2__7021-7021-79740-0000__SIM__5105-5105-28240-0008.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt4367-121-121726-0014_7021-79740-0000__T2__7021-7021-79740-0000__SIM__5105-5105-28240-0008-T7021.wav,0.028974616517126447,11.963319624812366,11.934345008295239
USEF,1320-122617-0025_260-123440-0019__T1__1320-1320-122617-0025__SIM__5105-5105-28241-0003,1320,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/1320-122617-0025_260-123440-0019__T1__1320-1320-122617-0025__SIM__5105-5105-28241-0003.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/1320-122617-0025_260-123440-0019__T1__1320-1320-122617-0025__SIM__5105-5105-28241-0003.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt225-1320-122617-0025_260-123440-0019__T1__1320-1320-122617-0025__SIM__5105-5105-28241-0003-T1320.wav,-0.015605004234504932,11.714768152858193,11.730373157092698
USEF,1320-122617-0025_260-123440-0019__T2__260-260-123440-0019__SIM__672-672-122797-0061,260,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/1320-122617-0025_260-123440-0019__T2__260-260-123440-0019__SIM__672-672-122797-0061.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/1320-122617-0025_260-123440-0019__T2__260-260-123440-0019__SIM__672-672-122797-0061.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt5753-1320-122617-0025_260-123440-0019__T2__260-260-123440-0019__SIM__672-672-122797-0061-T260.wav,-0.04026611763239644,10.549823668584148,10.590089786216545
USEF,2961-961-0007_6930-76324-0016__T1__2961-2961-961-0007__SIM__3570-3570-5695-0012,2961,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/2961-961-0007_6930-76324-0016__T1__2961-2961-961-0007__SIM__3570-3570-5695-0012.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/2961-961-0007_6930-76324-0016__T1__2961-2961-961-0007__SIM__3570-3570-5695-0012.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt2691-2961-961-0007_6930-76324-0016__T1__2961-2961-961-0007__SIM__3570-3570-5695-0012-T2961.wav,-0.006328756220482139,14.181586664148206,14.187915420368688
USEF,2961-961-0007_6930-76324-0016__T2__6930-6930-76324-0016__SIM__260-260-123288-0008,6930,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/2961-961-0007_6930-76324-0016__T2__6930-6930-76324-0016__SIM__260-260-123288-0008.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/2961-961-0007_6930-76324-0016__T2__6930-6930-76324-0016__SIM__260-260-123288-0008.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt1013-2961-961-0007_6930-76324-0016__T2__6930-6930-76324-0016__SIM__260-260-123288-0008-T6930.wav,-0.01326565927068019,12.28986466619174,12.30313032546242
USEF,3729-6852-0038_8463-294828-0003__T1__3729-3729-6852-0038__SIM__4507-4507-16021-0054,3729,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/3729-6852-0038_8463-294828-0003__T1__3729-3729-6852-0038__SIM__4507-4507-16021-0054.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/3729-6852-0038_8463-294828-0003__T1__3729-3729-6852-0038__SIM__4507-4507-16021-0054.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt947-3729-6852-0038_8463-294828-0003__T1__3729-3729-6852-0038__SIM__4507-4507-16021-0054-T3729.wav,-0.04122414170465035,4.4305022413159225,4.471726383020573
USEF,3729-6852-0038_8463-294828-0003__T2__8463-8463-294828-0003__SIM__4992-4992-41797-0020,8463,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/3729-6852-0038_8463-294828-0003__T2__8463-8463-294828-0003__SIM__4992-4992-41797-0020.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/3729-6852-0038_8463-294828-0003__T2__8463-8463-294828-0003__SIM__4992-4992-41797-0020.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt2481-3729-6852-0038_8463-294828-0003__T2__8463-8463-294828-0003__SIM__4992-4992-41797-0020-T8463.wav,-0.03199935306523993,10.759529810990172,10.791529164055412
USEF,4992-41806-0016_8230-279154-0023__T1__4992-4992-41806-0016__SIM__4446-4446-2271-0009,4992,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/4992-41806-0016_8230-279154-0023__T1__4992-4992-41806-0016__SIM__4446-4446-2271-0009.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/4992-41806-0016_8230-279154-0023__T1__4992-4992-41806-0016__SIM__4446-4446-2271-0009.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt157-4992-41806-0016_8230-279154-0023__T1__4992-4992-41806-0016__SIM__4446-4446-2271-0009-T4992.wav,-0.002051382220142842,2.8148610054184924,2.8169123876386353
USEF,4992-41806-0016_8230-279154-0023__T2__8230-8230-279154-0023__SIM__61-61-70968-0027,8230,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/4992-41806-0016_8230-279154-0023__T2__8230-8230-279154-0023__SIM__61-61-70968-0027.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/4992-41806-0016_8230-279154-0023__T2__8230-8230-279154-0023__SIM__61-61-70968-0027.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt2155-4992-41806-0016_8230-279154-0023__T2__8230-8230-279154-0023__SIM__61-61-70968-0027-T8230.wav,0.09647720534683007,10.890578940205371,10.794101734858542
USEF,8555-284447-0001_4077-13751-0003__T1__8555-8555-284447-0001__SIM__4970-4970-29095-0022,8555,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/8555-284447-0001_4077-13751-0003__T1__8555-8555-284447-0001__SIM__4970-4970-29095-0022.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/8555-284447-0001_4077-13751-0003__T1__8555-8555-284447-0001__SIM__4970-4970-29095-0022.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt4967-8555-284447-0001_4077-13751-0003__T1__8555-8555-284447-0001__SIM__4970-4970-29095-0022-T8555.wav,0.000326747588949441,14.575050312596572,14.574723565007622
USEF,8555-284447-0001_4077-13751-0003__T2__4077-4077-13751-0003__SIM__8455-8455-210777-0027,4077,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/8555-284447-0001_4077-13751-0003__T2__4077-4077-13751-0003__SIM__8455-8455-210777-0027.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/8555-284447-0001_4077-13751-0003__T2__4077-4077-13751-0003__SIM__8455-8455-210777-0027.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt1519-8555-284447-0001_4077-13751-0003__T2__4077-4077-13751-0003__SIM__8455-8455-210777-0027-T4077.wav,-0.011389401883750257,11.74152168891877,11.75291109080252
USEF,260-123286-0015_237-134493-0001__T1__260-260-123286-0015__SIM__672-672-122797-0017,260,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/260-123286-0015_237-134493-0001__T1__260-260-123286-0015__SIM__672-672-122797-0017.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/260-123286-0015_237-134493-0001__T1__260-260-123286-0015__SIM__672-672-122797-0017.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt2279-260-123286-0015_237-134493-0001__T1__260-260-123286-0015__SIM__672-672-122797-0017-T260.wav,-0.08618879389103996,11.93857671923136,12.0247655131224
USEF,260-123286-0015_237-134493-0001__T2__237-237-134493-0001__SIM__5683-5683-32866-0006,237,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/mix_clean/260-123286-0015_237-134493-0001__T2__237-237-134493-0001__SIM__5683-5683-32866-0006.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_clean/wav16k/min/test/s1/260-123286-0015_237-134493-0001__T2__237-237-134493-0001__SIM__5683-5683-32866-0006.wav,/data/tse_cue_project/diagnostics/stage2_p0_20260604/simspk_sisnri_full/usef_part0/audio/Utt1929-260-123286-0015_237-134493-0001__T2__237-237-134493-0001__SIM__5683-5683-32866-0006-T237.wav,-0.047904739488414456,5.508075952722771,5.555980692211185
