condition,cue,key,target_spk,utterance_si_sdr_target,mixture_si_sdr_target,traditional_sisnri
normal-basic-clean-test fixed-enroll,USEF,1580-141083-0038_4077-13754-0009,1580,10.002653253553206,-2.798782905378456,12.801436158931661
normal-basic-clean-test fixed-enroll,USEF,1580-141083-0038_4077-13754-0009,4077,11.926074238559472,2.7763132196639524,9.14976101889552
normal-basic-clean-test fixed-enroll,USEF,5639-40744-0033_4446-2273-0035,5639,12.449056491108005,-5.709160829553726,18.15821732066173
normal-basic-clean-test fixed-enroll,USEF,5639-40744-0033_4446-2273-0035,4446,18.19702271290148,5.600176701282065,12.596846011619414
normal-basic-clean-test fixed-enroll,USEF,4446-2271-0014_3570-5694-0003,4446,6.182997633579141,-3.262648643405626,9.445646276984768
normal-basic-clean-test fixed-enroll,USEF,4446-2271-0014_3570-5694-0003,3570,-16.672292639767296,3.8441939729844616,-20.516486612751756
normal-basic-clean-test fixed-enroll,USEF,1995-1837-0027_4970-29095-0022,1995,10.064637249100915,-2.3955459887121395,12.460183237813055
normal-basic-clean-test fixed-enroll,USEF,1995-1837-0027_4970-29095-0022,4970,13.417930508629984,2.4245294909885637,10.993401017641421
normal-basic-clean-test fixed-enroll,USEF,4446-2275-0008_2300-131720-0032,4446,8.805537336539146,-7.3511830585874645,16.156720395126612
normal-basic-clean-test fixed-enroll,USEF,4446-2275-0008_2300-131720-0032,2300,16.715346836051623,7.14958332916226,9.565763506889363
normal-basic-clean-test fixed-enroll,USEF,4446-2273-0019_8555-284447-0022,4446,9.60801232383014,-1.2354716280876445,10.843483951917785
normal-basic-clean-test fixed-enroll,USEF,4446-2273-0019_8555-284447-0022,8555,2.9896085835770347,1.2708497665372278,1.718758817039807
normal-basic-clean-test fixed-enroll,USEF,3729-6852-0009_8455-210777-0059,3729,9.64542775634045,-5.188913572649577,14.834341328990027
normal-basic-clean-test fixed-enroll,USEF,3729-6852-0009_8455-210777-0059,8455,15.005950620138623,5.215737069077835,9.790213551060788
normal-basic-clean-test fixed-enroll,USEF,8455-210777-0020_61-70968-0054,8455,3.0014893161275493,-2.7207812837860574,5.722270599913607
normal-basic-clean-test fixed-enroll,USEF,8455-210777-0020_61-70968-0054,61,11.985119987581296,2.1814179318363145,9.803702055744981
normal-basic-clean-test fixed-enroll,USEF,7729-102255-0023_61-70968-0033,7729,4.425258107009446,-3.902464704074722,8.327722811084168
normal-basic-clean-test fixed-enroll,USEF,7729-102255-0023_61-70968-0033,61,9.755946147018038,3.868129128400314,5.887817018617724
normal-basic-clean-test fixed-enroll,USEF,8463-287645-0002_260-123440-0015,8463,-11.211220218954526,-0.5852977151454922,-10.625922503809035
normal-basic-clean-test fixed-enroll,USEF,8463-287645-0002_260-123440-0015,260,11.86143370755958,0.8564237632358696,11.00500994432371
normal-basic-clean-test fixed-enroll,USEF,6829-68771-0029_4992-41797-0011,6829,8.363769015223447,-4.595879459631553,12.959648474855001
normal-basic-clean-test fixed-enroll,USEF,6829-68771-0029_4992-41797-0011,4992,6.923326161757709,4.149799136615698,2.7735270251420108
normal-basic-clean-test fixed-enroll,USEF,260-123440-0017_7729-102255-0008,260,6.46351384030031,-2.6789826059442694,9.142496446244579
normal-basic-clean-test fixed-enroll,USEF,260-123440-0017_7729-102255-0008,7729,10.152077726526835,2.363091339127413,7.788986387399422
normal-basic-clean-test fixed-enroll,USEF,260-123440-0011_1320-122617-0016,260,9.89821853433744,-1.5402396218044132,11.438458156141854
normal-basic-clean-test fixed-enroll,USEF,260-123440-0011_1320-122617-0016,1320,11.53016176641122,1.351673998113963,10.178487768297257
normal-basic-clean-test fixed-enroll,USEF,8463-294828-0009_3570-5694-0015,8463,14.143740586671704,1.080476035627659,13.063264551044046
normal-basic-clean-test fixed-enroll,USEF,8463-294828-0009_3570-5694-0015,3570,12.141473920172528,-0.9759201102748015,13.117394030447329
normal-basic-clean-test fixed-enroll,USEF,260-123286-0030_3729-6852-0004,260,14.834396063958996,4.400452422827089,10.433943641131908
normal-basic-clean-test fixed-enroll,USEF,260-123286-0030_3729-6852-0004,3729,10.726995831729662,-4.4017101748246805,15.128706006554342
normal-basic-clean-test fixed-enroll,USEF,4077-13751-0017_5105-28241-0009,4077,-4.01736078965993,3.3971165253612727,-7.4144773150212036
normal-basic-clean-test fixed-enroll,USEF,4077-13751-0017_5105-28241-0009,5105,9.92154937460879,-3.1953981933154174,13.116947567924209
normal-basic-clean-test fixed-enroll,USEF,1995-1826-0025_7021-85628-0007,1995,17.4447633868623,2.689554728531986,14.755208658330313
normal-basic-clean-test fixed-enroll,USEF,1995-1826-0025_7021-85628-0007,7021,14.879237792356893,-2.85014722550115,17.729385017858043
normal-basic-clean-test fixed-enroll,USEF,1221-135766-0006_7176-92135-0040,1221,12.425088559387678,-3.219463230629327,15.644551790017005
normal-basic-clean-test fixed-enroll,USEF,1221-135766-0006_7176-92135-0040,7176,15.809295333748333,3.314673933865719,12.494621399882615
normal-basic-clean-test fixed-enroll,USEF,6930-81414-0002_7021-85628-0023,6930,9.53581702501114,-4.649584121974915,14.185401146986056
normal-basic-clean-test fixed-enroll,USEF,6930-81414-0002_7021-85628-0023,7021,14.92003896003357,4.818146278262415,10.101892681771155
normal-basic-clean-test fixed-enroll,USEF,2830-3980-0071_5142-33396-0024,2830,11.857039725,-2.2546306078563916,14.111670332856391
normal-basic-clean-test fixed-enroll,USEF,2830-3980-0071_5142-33396-0024,5142,14.435200487134232,2.206762895779136,12.228437591355096
normal-basic-clean-test fixed-enroll,USEF,908-31957-0019_4970-29095-0028,908,11.370893358968711,-6.639070423368779,18.00996378233749
normal-basic-clean-test fixed-enroll,USEF,908-31957-0019_4970-29095-0028,4970,18.64590929653623,6.577073002694362,12.06883629384187
normal-basic-clean-test fixed-enroll,USEF,4970-29095-0011_6930-75918-0006,4970,13.943952213734692,3.4986137054925956,10.445338508242095
normal-basic-clean-test fixed-enroll,USEF,4970-29095-0011_6930-75918-0006,6930,10.304939536375922,-3.3868619167126672,13.69180145308859
normal-basic-clean-test fixed-enroll,USEF,4992-41797-0021_5142-33396-0064,4992,15.208710333689988,7.8553065610718384,7.353403772618149
normal-basic-clean-test fixed-enroll,USEF,4992-41797-0021_5142-33396-0064,5142,7.654536827425006,-7.723084420968039,15.377621248393044
normal-basic-clean-test fixed-enroll,USEF,2961-961-0001_61-70968-0016,2961,10.246047139454395,-1.2312056791516812,11.477252818606077
normal-basic-clean-test fixed-enroll,USEF,2961-961-0001_61-70968-0016,61,3.738761637082512,1.1505266752761856,2.588234961806326
normal-basic-clean-test fixed-enroll,USEF,908-157963-0022_4970-29093-0014,908,13.74105998178558,4.1474723160664215,9.59358766571916
normal-basic-clean-test fixed-enroll,USEF,908-157963-0022_4970-29093-0014,4970,10.220709846933566,-4.150604559211468,14.371314406145034
normal-basic-clean-test fixed-enroll,USEF,5142-36377-0025_1995-1836-0007,5142,11.990235878810616,-3.8303465136712536,15.82058239248187
normal-basic-clean-test fixed-enroll,USEF,5142-36377-0025_1995-1836-0007,1995,16.312139311028172,3.92302398917559,12.389115321852582
normal-basic-clean-test fixed-enroll,USEF,7127-75946-0008_5142-33396-0020,7127,10.50880493111109,0.40694594022596625,10.101858990885123
normal-basic-clean-test fixed-enroll,USEF,7127-75946-0008_5142-33396-0020,5142,9.10868729269166,-0.5857277666767609,9.694415059368422
normal-basic-clean-test fixed-enroll,USEF,4992-41797-0017_8555-284447-0002,4992,15.287539600870074,4.478241651388323,10.809297949481751
normal-basic-clean-test fixed-enroll,USEF,4992-41797-0017_8555-284447-0002,8555,10.663915535847204,-4.563272697040172,15.227188232887375
normal-basic-clean-test fixed-enroll,USEF,7729-102255-0042_121-121726-0005,7729,17.481960665906698,10.56296134352653,6.918999322380168
normal-basic-clean-test fixed-enroll,USEF,7729-102255-0042_121-121726-0005,121,6.010131056225642,-10.265396603185685,16.275527659411328
normal-basic-clean-test fixed-enroll,USEF,5683-32866-0025_2830-3980-0063,5683,9.611172132958446,-4.602693417434852,14.213865550393297
normal-basic-clean-test fixed-enroll,USEF,5683-32866-0025_2830-3980-0063,2830,14.778647645864488,4.466417693709252,10.312229952155237
normal-basic-clean-test fixed-enroll,USEF,7021-85628-0008_237-134500-0013,7021,13.593437746291253,-2.4488854712914354,16.042323217582688
normal-basic-clean-test fixed-enroll,USEF,7021-85628-0008_237-134500-0013,237,16.219839385561407,2.4957581577986554,13.724081227762753
normal-basic-clean-test fixed-enroll,USEF,4992-41797-0005_1580-141083-0049,4992,11.1608778869906,-0.7828222241073575,11.943700111097957
normal-basic-clean-test fixed-enroll,USEF,4992-41797-0005_1580-141083-0049,1580,12.489689422766324,0.6976494425642498,11.792039980202073
normal-basic-clean-test fixed-enroll,USEF,7729-102255-0036_1580-141083-0031,7729,14.948523347955,6.416357232194728,8.532166115760273
normal-basic-clean-test fixed-enroll,USEF,7729-102255-0036_1580-141083-0031,1580,8.4314112278856,-6.435633361166508,14.86704458905211
normal-basic-clean-test fixed-enroll,USEF,8463-294828-0012_8555-284447-0009,8463,7.995796435210969,-4.157677218656544,12.153473653867513
normal-basic-clean-test fixed-enroll,USEF,8463-294828-0012_8555-284447-0009,8555,12.212838237141526,4.631090704086817,7.581747533054709
normal-basic-clean-test fixed-enroll,USEF,61-70968-0003_2830-3980-0008,61,4.437825553370424,5.616659334789659,-1.1788337814192351
normal-basic-clean-test fixed-enroll,USEF,61-70968-0003_2830-3980-0008,2830,2.908481283627542,-5.132668045639214,8.041149329266755
normal-basic-clean-test fixed-enroll,USEF,7176-92135-0022_1995-1837-0017,7176,7.883684593195448,-0.4452075765005717,8.32889216969602
normal-basic-clean-test fixed-enroll,USEF,7176-92135-0022_1995-1837-0017,1995,14.15807930635343,0.7102899899393715,13.44778931641406
normal-basic-clean-test fixed-enroll,USEF,5639-40744-0012_5683-32879-0021,5639,20.122796249130733,6.077444349856931,14.045351899273802
normal-basic-clean-test fixed-enroll,USEF,5639-40744-0012_5683-32879-0021,5683,13.770683701851476,-6.119200860621388,19.889884562472865
normal-basic-clean-test fixed-enroll,USEF,1580-141083-0026_1188-133604-0037,1580,12.84307304543993,-4.481095294026243,17.324168339466173
normal-basic-clean-test fixed-enroll,USEF,1580-141083-0026_1188-133604-0037,1188,17.54025403190873,4.5247568657552195,13.015497166153512
normal-basic-clean-test fixed-enroll,USEF,4970-29095-0025_2830-3980-0005,4970,14.270838734510514,-2.900900849113115,17.17173958362363
normal-basic-clean-test fixed-enroll,USEF,4970-29095-0025_2830-3980-0005,2830,15.119175967599933,3.144664984031115,11.974510983568818
normal-basic-clean-test fixed-enroll,USEF,2300-131720-0001_5683-32879-0012,2300,13.756339437951562,2.7800149973767585,10.976324440574803
normal-basic-clean-test fixed-enroll,USEF,2300-131720-0001_5683-32879-0012,5683,11.471441267051608,-2.7801458833341948,14.251587150385802
normal-basic-clean-test fixed-enroll,USEF,8230-279154-0031_237-126133-0016,8230,19.09762488020617,8.212007565222244,10.885617314983925
normal-basic-clean-test fixed-enroll,USEF,8230-279154-0031_237-126133-0016,237,10.108925039614132,-7.918754006176392,18.027679045790524
normal-basic-clean-test fixed-enroll,USEF,5105-28241-0018_1320-122617-0009,5105,12.048634479644766,-1.9332688014692978,13.981903281114064
normal-basic-clean-test fixed-enroll,USEF,5105-28241-0018_1320-122617-0009,1320,14.101320680108174,1.8592217757563718,12.242098904351803
normal-basic-clean-test fixed-enroll,USEF,3729-6852-0020_7176-92135-0016,3729,12.830421032444551,-3.793580503756851,16.6240015362014
normal-basic-clean-test fixed-enroll,USEF,3729-6852-0020_7176-92135-0016,7176,16.2882954001625,3.697457274531774,12.590838125630725
normal-basic-clean-test fixed-enroll,USEF,8555-284449-0007_5683-32866-0005,8555,6.910908892287104,-6.90760965450197,13.818518546789074
normal-basic-clean-test fixed-enroll,USEF,8555-284449-0007_5683-32866-0005,5683,13.857697116171126,6.774556958668483,7.083140157502643
normal-basic-clean-test fixed-enroll,USEF,61-70968-0057_2094-142345-0014,61,10.4549543311078,1.344151878798669,9.11080245230913
normal-basic-clean-test fixed-enroll,USEF,61-70968-0057_2094-142345-0014,2094,8.902417607157453,-1.4639876616878804,10.366405268845334
normal-basic-clean-test fixed-enroll,USEF,8463-294825-0010_61-70968-0034,8463,6.903466248169552,-1.8634285162518924,8.766894764421444
normal-basic-clean-test fixed-enroll,USEF,8463-294825-0010_61-70968-0034,61,9.778123421713603,1.7793925160085062,7.998730905705097
normal-basic-clean-test fixed-enroll,USEF,8463-294828-0013_8224-274381-0004,8463,14.92254315838813,2.9467163648218446,11.975826793566286
normal-basic-clean-test fixed-enroll,USEF,8463-294828-0013_8224-274381-0004,8224,12.036995423811431,-2.8301631204661986,14.867158544277629
normal-basic-clean-test fixed-enroll,USEF,8555-284449-0018_8463-287645-0000,8555,9.8393841428067,-2.2149116380068956,12.054295780813597
normal-basic-clean-test fixed-enroll,USEF,8555-284449-0018_8463-287645-0000,8463,8.303874186537644,1.8111338591927346,6.49274032734491
normal-basic-clean-test fixed-enroll,USEF,8230-279154-0017_8224-274384-0004,8230,13.337194232226338,0.008035300299188508,13.32915893192715
normal-basic-clean-test fixed-enroll,USEF,8230-279154-0017_8224-274384-0004,8224,13.098577546511088,0.03634044820350358,13.062237098307584
normal-basic-clean-test fixed-enroll,USEF,4992-23283-0018_1188-133604-0013,4992,10.429002838923044,1.3522632666740175,9.076739572249027
normal-basic-clean-test fixed-enroll,USEF,4992-23283-0018_1188-133604-0013,1188,9.951093366762317,-1.8604607206026136,11.81155408736493
normal-basic-clean-test fixed-enroll,USEF,8230-279154-0032_3570-5695-0000,8230,13.468967294369422,-0.045813228983496865,13.514780523352918
normal-basic-clean-test fixed-enroll,USEF,8230-279154-0032_3570-5695-0000,3570,13.344041948081376,-0.1065260249222586,13.450567973003634
normal-basic-clean-test fixed-enroll,USEF,7021-79740-0014_2300-131720-0023,7021,8.682089692086002,-3.1299272272975958,11.812016919383598
normal-basic-clean-test fixed-enroll,USEF,7021-79740-0014_2300-131720-0023,2300,11.696383054632044,3.1629730936710994,8.533409960960945
normal-basic-clean-test fixed-enroll,USEF,1284-1181-0012_3729-6852-0023,1284,14.115551490935632,3.94572394397032,10.169827546965312
normal-basic-clean-test fixed-enroll,USEF,1284-1181-0012_3729-6852-0023,3729,9.79215351448852,-3.8305641871010687,13.62271770158959
normal-basic-clean-test fixed-enroll,USEF,8463-294825-0019_5639-40744-0038,8463,9.045460123418508,-4.699222787994505,13.744682911413012
normal-basic-clean-test fixed-enroll,USEF,8463-294825-0019_5639-40744-0038,5639,14.815293571996603,4.368503155067986,10.446790416928618
normal-basic-clean-test fixed-enroll,USEF,4077-13754-0005_1221-135767-0005,4077,10.606212198761844,-2.6182752589712033,13.224487457733048
normal-basic-clean-test fixed-enroll,USEF,4077-13754-0005_1221-135767-0005,1221,13.6384712691067,2.572244734272488,11.066226534834213
normal-basic-clean-test fixed-enroll,USEF,7729-102255-0012_1320-122617-0000,7729,10.938480300311026,-2.3262566107995393,13.264736911110566
normal-basic-clean-test fixed-enroll,USEF,7729-102255-0012_1320-122617-0000,1320,12.908797220027726,2.1918369098542,10.716960310173526
normal-basic-clean-test fixed-enroll,USEF,237-134500-0026_260-123286-0016,237,8.994119159928095,-4.683466455727761,13.677585615655858
normal-basic-clean-test fixed-enroll,USEF,237-134500-0026_260-123286-0016,260,13.604078637553132,5.030836363512758,8.573242274040373
normal-basic-clean-test fixed-enroll,USEF,3575-170457-0044_1089-134686-0017,3575,13.597698125527373,2.989026551707629,10.608671573819745
normal-basic-clean-test fixed-enroll,USEF,3575-170457-0044_1089-134686-0017,1089,11.102749347477934,-3.070733108144523,14.173482455622457
normal-basic-clean-test fixed-enroll,USEF,1580-141083-0034_4507-16021-0017,1580,10.049868988445713,-6.029308225247996,16.079177213693708
normal-basic-clean-test fixed-enroll,USEF,1580-141083-0034_4507-16021-0017,4507,16.130862966599384,5.733645344227027,10.397217622372356
normal-basic-clean-test fixed-enroll,USEF,1580-141084-0001_260-123286-0029,1580,6.233120245892614,-8.196172687138409,14.429292933031023
normal-basic-clean-test fixed-enroll,USEF,1580-141084-0001_260-123286-0029,260,13.067280837277009,8.198195782133729,4.86908505514328
normal-basic-clean-test fixed-enroll,USEF,672-122797-0061_260-123286-0018,672,-14.841868521042043,2.6108945002930346,-17.452763021335077
normal-basic-clean-test fixed-enroll,USEF,672-122797-0061_260-123286-0018,260,10.860298758424245,-2.5256400417299565,13.3859388001542
normal-basic-clean-test fixed-enroll,USEF,3575-170457-0012_2830-3980-0031,3575,12.814420260301985,-0.28434929502925305,13.098769555331238
normal-basic-clean-test fixed-enroll,USEF,3575-170457-0012_2830-3980-0031,2830,12.853546205310469,0.2293013611216123,12.624244844188857
normal-basic-clean-test fixed-enroll,USEF,61-70968-0022_1221-135767-0011,61,8.530501230562233,-1.97933530048992,10.509836531052153
normal-basic-clean-test fixed-enroll,USEF,61-70968-0022_1221-135767-0011,1221,10.655924233305416,1.7719480499142015,8.883976183391216
normal-basic-clean-test fixed-enroll,USEF,7176-88083-0005_672-122797-0022,7176,11.979660127613789,0.22749324618486821,11.75216688142892
normal-basic-clean-test fixed-enroll,USEF,7176-88083-0005_672-122797-0022,672,10.135548937532462,0.01541889672826257,10.1201300408042
normal-basic-clean-test fixed-enroll,USEF,4446-2271-0019_7176-88083-0010,4446,7.113405613501811,-2.3253246848344578,9.438730298336269
normal-basic-clean-test fixed-enroll,USEF,4446-2271-0019_7176-88083-0010,7176,12.54419672915241,2.6366118545492094,9.907584874603202
